パーソナルコンピュータ|個人が使うことを前提にした、小型で低価格なコンピュータ。PCともいう。
SVC割込み|プログラムがOSの機能を呼び出すために、意図的に起こす割込み。
入出力割込み|入出力装置が処理を終えたときに、CPUへ知らせる割込み。
FLOPS|1秒間に実行できる、浮動小数点演算の回数を表す性能指標。
命令ミックス|命令の種類ごとの実行頻度を考慮して、平均の実行速度を求める性能評価の方法。
スーパーパイプライン|パイプラインの段数を増やして、さらに細かく分けて高速化する方式。
スーパースカラ|複数のパイプラインを並べて、同時に複数の命令を実行する方式。
VLIW|複数の命令を、1つの長い命令にまとめて、同時に実行させる方式。
シングルコアプロセッサ|1つのCPUコアだけを持つプロセッサ。
マルチコアプロセッサ|1つのプロセッサに、複数のCPUコアを持つプロセッサ。
SISD|1つの命令で、1つのデータを処理する方式。従来型の逐次処理。
SIMD|1つの命令で、複数のデータを同時に処理する方式。
MISD|複数の命令で、1つのデータを処理する方式。
MIMD|複数の命令で、複数のデータを同時に処理する方式。
疎結合マルチプロセッサシステム|各プロセッサが、それぞれ独自のメモリを持ち、通信で連携する構成。
密結合マルチプロセッサシステム|複数のプロセッサが、共通のメモリを共有する構成。
アムダールの法則|並列処理でも、逐次でしか実行できない部分があるため、台数を増やしても性能向上に限界があるという法則。
同期|複数の処理の、実行のタイミングを合わせること。
クラスタ|複数のコンピュータを連携させて、1台のように動かす構成。
DIMM|パソコンなどで使う、メモリチップを載せた基板(メモリモジュール)。
SO-DIMM|ノートPCなどで使う、DIMMを小さくしたメモリモジュール。
記憶部|情報を、記憶する部分。
アドレス選択機構|記憶装置の中から、読み書きする場所を選び出す仕組み。
読取り書込み機構|記憶装置のデータを、読んだり書いたりする仕組み。
主記憶|CPUが直接読み書きする記憶装置。メインメモリともいう。
補助記憶|主記憶を補う、大容量で電源を切っても消えない記憶装置。
ディスクキャッシュ|ディスクの読み書きを速くするため、主記憶の一部にデータを一時的に置く仕組み。
ライトスルー|書込み時に、キャッシュと主記憶の両方へ同時に書き込む方式。
ライトバック|書込み時は、まずキャッシュだけに書き、あとでまとめて主記憶へ書き戻す方式。
メモリインターリーブ|主記憶を複数のバンクに分け、交互にアクセスして高速化する方式。
読出し専用型|データを読むことはできるが、書き込めない記録媒体。
追記型|データを、1回だけ書き足せるが、消せない記録媒体。
書換型|データを、何度でも書き換えられる記録媒体。
SSD|フラッシュメモリを使った、記憶装置。HDDより高速で、衝撃に強い。
DVD|直径12cmの、光ディスク。CDより容量が大きい。
ブルーレイディスク|青紫色レーザで読み書きする、大容量の光ディスク。
ストリーマ|磁気テープに、大量のデータを連続して記録する、バックアップ用の装置。
RAMファイル|主記憶の一部を、ディスクのように使う仕組み。
ウェアレベリング|フラッシュメモリの書込み回数を、平均して、寿命を延ばす技術。
内部バス|CPUの内部で、装置間をつなぐバス。
外部バス|CPUと、メモリや周辺装置をつなぐ、外部のバス。
拡張バス|拡張カードなどを、追加するために用意されたバス。
アドレスバス|データの読み書き先の、アドレスを伝えるバス。
データバス|データそのものを、やり取りするバス。
コントロールバス|読出しや書込みなど、制御の信号を伝えるバス。
システムバス|CPU、メモリ、入出力装置を結ぶ、主要なバス。
メモリバス|CPUと主記憶をつなぐバス。
入出力バス|入出力装置を、つなぐバス。
PCI|パソコン内部で、拡張カードをつなぐための、バスの規格。
シリアルバス|データを1ビットずつ、順番に送るバス。
パラレルバス|複数のビットを、同時に送るバス。
バスのアクセスモード|バスを使って、データを転送する方式。
Thunderbolt|高速なデータ転送と映像出力を、1本のケーブルで行うインタフェース。
RS-232C|パソコンと、周辺機器をシリアルでつなぐ、従来からのインタフェース規格。
DisplayPort|映像と音声を、デジタルで伝送する、ディスプレイ用のインタフェース。
シリアルATA|HDDやSSDなどを、シリアルで接続するインタフェース。SATAともいう。
BLE|消費電力を、抑えた、Bluetoothの規格。
ZigBee|低消費電力で、近距離の無線通信に使う規格。センサーネットワークで使われる。
IrDA|赤外線で、近距離のデータ通信をするための規格。
シリアルデータ転送方式|データを1ビットずつ、順番に送る方式。
パラレルデータ転送方式|複数のビットを、同時に並行して送る方式。
アナログ|温度や音のように、連続して変化する量を扱う方式。
デジタル|情報を、0と1などの、とびとびの値で扱う方式。
スター接続|中心の機器から、放射状に各機器をつなぐ接続形態。
カスケード接続|機器を、数珠つなぎに段階的に接続する方式。
デイジーチェーン接続|機器を、一列に数珠つなぎにして、つなぐ接続方式。
ターミネーター|信号の反射を防ぐために、バスの終端に取り付ける抵抗。
ツリー接続|機器を、木の枝のように、階層的につなぐ接続方式。
プログラム制御方式|CPUが、プログラムで入出力を制御する方式。CPUの負担が大きい。
DMA方式|CPUを介さず、入出力装置と主記憶が、直接データを転送する方式。
チャネル制御方式|専用の入出力プロセッサ(チャネル)が、入出力を制御する方式。
ポインティングデバイス|画面上の位置を指し示す、入力装置の総称。|マウス、トラックボール。
マウス|机の上を動かして、画面上のポインタを操作する入力装置。
タッチパネル・タッチスクリーン|画面に触れた位置を、検出して入力する装置。
ジョイスティック|レバーを傾けて、方向を入力する装置。
トラックボール|ボールを回して、ポインタを動かす入力装置。
デジタイザー|専用のペンで触れた位置を、座標として入力する装置。
ペンタブレット|専用のペンで、描いた線を入力する装置。
キーボード|キーを押して、文字や命令を入力する装置。
音声入力装置|話した声を、コンピュータへ入力する装置。マイクなど。
スキャナー|紙の文書や写真を、画像データとして取り込む装置。
OMR|マークシートの、塗りつぶされた位置を読み取る装置。光学式マーク読取り装置ともいう。
デジタルカメラ|光を電気信号にして、画像をデジタルデータとして記録するカメラ。
生体認証装置|指紋や顔などを読み取って、本人確認をする装置。
バーコード読取装置|バーコードを、光で読み取る装置。
磁気カード読取装置|カードの磁気ストライプの情報を、読み取る装置。
ICカード読取装置|ICカードに記録された情報を、読み取る装置。
A/Dコンバータ|アナログ信号を、デジタル信号に変換する装置。
TFT液晶|画素ごとに、トランジスタ(薄膜トランジスタ)を持つ、鮮明な液晶ディスプレイ。
STN液晶|単純な構造の液晶ディスプレイ。TFTより、応答が遅い。
ヘッドマウントディスプレイ|頭に装着して使う、ディスプレイ。VRなどで使う。
アイトラッキングデバイス|目の動きや、視線の方向を検出する装置。
ハプティックデバイス|振動などの触覚で、利用者に感触を伝える装置。
インタレースモード|画面を、奇数行と偶数行に分けて、交互に表示する方式。
ノンインタレースモード|画面のすべての行を、順に表示する方式。
VGA|解像度が640×480の、ディスプレイの規格。
SVGA|解像度が800×600の、ディスプレイの規格。
XGA|解像度が1024×768の、ディスプレイの規格。
電子ペーパー|紙のように、電力を使わずに表示を保持できるディスプレイ。
インパクトプリンター|インクリボンを、印字ヘッドで叩いて印字するプリンタ。
ノンインパクトプリンター|紙を叩かずに、印字するプリンタ。
シリアルプリンター|1文字ずつ印字する、プリンタ。
ラインプリンター|1行分をまとめて、印字するプリンタ。
ページプリンター|1ページ分を、まとめて印字するプリンタ。
レーザープリンター|レーザ光で感光体に像を作り、トナーで印刷するプリンタ。
インクジェットプリンター|微細なインクの粒を吹き付けて、印刷するプリンタ。
3Dプリンター|材料を積み重ねて、立体物を作る装置。
プロッター|ペンを動かして、図面などを描く装置。
D/Aコンバータ|デジタル信号を、アナログ信号に変換する装置。
プロジェクター|映像を、スクリーンに拡大して投影する装置。
音声出力装置|コンピュータの音声を、出力する装置。スピーカーなど。
ハードディスク装置|磁気ディスクを回転させて、データを記録する装置。HDDともいう。
SDカードリーダー|SDカードのデータを、読み書きする装置。
CD-R/RWドライブ|CD-RやCD-RWの、読み書きを行う装置。
ブルーレイドライブ|ブルーレイディスクの、読み書きを行う装置。
DVD-R/RWドライブ|DVD-RやDVD-RWの、読み書きを行う装置。
磁気テープ装置|磁気テープに、データを記録・読み出しする装置。
トラック|磁気ディスクの、同心円状に並ぶ、記録の帯。
シリンダ|複数の円盤の、同じ位置にあるトラックを、縦に重ねたもの。
ブロック化因数|1ブロックに、入れるレコードの数。
ブロック間隔|磁気テープの、ブロックとブロックの間の、空白の間隔。
セクター|トラックを、さらに細かく分割した、ディスクの最小の記録単位。
デフラグメンテーション|ばらばらに記録されたファイルを、連続した領域にまとめ直して、アクセス速度を改善すること。
有線LANインタフェースカード|ケーブルで、LANに接続するための拡張カード。
無線LANインタフェースカード|無線LANに、接続するための拡張カード。
