企業理念|企業が、事業を行ううえでの、基本的な考え方や、存在意義。
コモディティ化|製品の、差がなくなり、価格の競争になってしまうこと。
カニバリゼーション|自社の製品同士が、競合して、売上を奪い合うこと。
バリュープライシング|顧客が、感じる価値をもとに、価格を決める方法。
スキミングプライシング|新製品の、発売時に、高い価格を設定し、徐々に下げていく価格戦略。
ペネトレーションプライシング|新製品の、発売時に、低い価格を設定して、市場に浸透させる価格戦略。
ダイナミックプライシング|需要と供給の状況に応じて、価格を変動させる方法。
コストプラス法|原価に、一定の利益を、上乗せして価格を決める方法。
サブスクリプションモデル|一定の期間の、利用料を、支払って利用する、課金の仕組み。
フランチャイズチェーン|本部が、加盟店に、商標や、経営の仕組みを提供し、対価を受け取る事業形態。
チャネル統合|複数の、販売経路を、連携させて、顧客に一貫した体験を提供すること。
プロモーション戦略|商品を知ってもらい、購入につなげるための、宣伝や販売促進の戦略。
インターネット広告|インターネットの、Webサイトなどで、配信する広告。
オプトインメール広告|受信を、許可した人にだけ、送るメール広告。
バナー広告|Webページに、表示する、画像形式の広告。
ジオターゲティング広告|利用者の、位置情報にもとづいて配信する広告。
リスティング広告|検索キーワードに連動して、表示される広告。検索連動型広告。
成功報酬型広告|購入などの、成果が出たときにだけ、費用が発生する広告。
LPO|広告から、訪れた人が、購入などにつながるように、ランディングページを、改善すること。
CVR|Webサイトの訪問者のうち、購入などに至った人の割合。
アフィリエイト|Webサイトなどに、広告を掲載し、成果が出たときに、報酬を得る仕組み。
レコメンデーション|利用者の、好みや、行動履歴から、おすすめの商品を、提示する機能。
デジタルサイネージ|ディスプレイなどに、映像や情報を表示する、電子的な広告媒体。
A/Bテスト|2つの案を、ランダムに提示して、どちらの効果が高いかを、比較する手法。
マスマーケティング|不特定多数の消費者に向けて、同じ商品を、同じ方法で、売り込む手法。
ワントゥワンマーケティング|顧客ひとりひとりの、ニーズに合わせて、対応するマーケティング手法。
リレーションシップマーケティング|顧客との、長期的な関係を築き、維持することを重視するマーケティング。
ダイレクトマーケティング|顧客に、直接働きかけて、販売する手法。
クロスメディアマーケティング|複数の媒体を、組み合わせて、効果的に展開するマーケティング。
市場テスト|新製品を、限られた地域で、試験的に販売して、反応を調べること。
プッシュ戦略|販売側が、積極的に働きかけて、売り込む戦略。
プル戦略|広告などで、消費者の関心を引き、自ら買いに来させる戦略。
MVV|企業の、ミッション・ビジョン・バリューの、3つ。
ビジネスモデルキャンバス|ビジネスモデルを、9つの要素で、1枚に整理する、フレームワーク。
BSC|財務・顧客・業務プロセス・学習と成長の、4つの視点から、業績を評価する手法。
ニーズ・ウォンツ分析|顧客の、必要性と、欲求を、分析すること。
競合分析|競合他社の、強みや弱みを、調べて分析すること。
バリューエンジニアリング|製品などの、機能と、コストの関係を、分析して、価値を高める手法。
シックスシグマ|品質のばらつきを、統計的に減らして、不良を極限まで、なくす手法。
TQM|全社を挙げて、品質の向上に取り組む、経営の手法。
SECIモデル|共有された暗黙知と形式知が、変換されて、組織の知識が、生まれるプロセスを示したモデル。
ECR|小売業と、メーカーが連携して、在庫や物流を、効率化する取組み。
KM|組織内の、知識や、ノウハウを共有し、活用する経営手法。ナレッジマネジメント。
流通情報システム|商品の、流通に関する、情報を管理するシステム。
会計・経理・財務システム|会計や財務の、処理を行うシステム。
XBRL|財務情報などを、記述するための、XMLをもとにした言語。
人事・給与システム|人事情報の、管理や、給与の計算を行うシステム。
Web会議システム|離れた場所にいる人が、インターネットで、会議を行うシステム。
物流情報システム|物の輸送や、保管などの、情報を管理するシステム。
店頭販売管理|店舗での、販売の、状況を管理すること。
販売管理|受注から、売上、請求などまでを、管理すること。
受発注管理|受注と発注の、情報を管理すること。
顧客管理|顧客の情報を、管理し、活用すること。
金融情報システム|金融機関が、使う、預金や決済などを扱うシステム。
医療情報システム|医療機関で、使う、患者の情報や、診療の記録などを扱うシステム。
生産管理システム|生産計画や、進捗、在庫などを管理するシステム。
CDN|Webコンテンツを、世界各地のサーバに配置して、配信を高速化する仕組み。
業務別パッケージ|特定の業務向けに作られた、市販のソフトウェア。
ユビキタスコンピューティング|いつでも、どこでも、コンピュータを使えるという考え方。
デジタルツイン|現実の物体などを、デジタル空間に、そっくり再現して、分析や予測に使う技術。
サイバーフィジカルシステム|現実世界の、情報を、デジタル空間で分析し、現実世界へ反映する仕組み。CPS。
ブロックチェーンの活用|取引の記録を、改ざんしにくい形で分散して管理する技術を、活用すること。
e-Gov|行政の手続きを、オンラインで行える、電子政府の総合窓口。
電子政府|行政の手続きを、電子化して、オンラインで提供する仕組み。
電子自治体|自治体の、行政サービスを、電子化する取組み。
LGWAN|地方公共団体を、相互に結ぶ、行政専用のネットワーク。
住民基本台帳ネットワークシステム|住民票の情報を、全国で、共有するための、ネットワークシステム。
EDINET|企業の、有価証券報告書などを、電子的に提出・閲覧できるシステム。
公共情報システム|国や自治体などが、公共サービスのために、運用する情報システム。
EMS|電子機器の、受託製造を、行うサービス。
GPS応用システム|GPSを使った、位置情報を活用するシステム。
緊急速報|災害などの、緊急情報を、素早く知らせる仕組み。
Jアラート|国から、緊急の情報を、自治体などを通じて、住民へ、瞬時に伝えるシステム。
マイナポータル|行政手続きの、確認や申請が、オンラインでできる、政府のサービス。
自治体窓口のキャッシュレス化|自治体の窓口での、支払いを、現金以外で行えるようにすること。
人間中心のAI社会原則|AIを、人間中心の考え方で、社会に受け入れるための、基本原則。
AI利活用ガイドライン|AIの、利活用に、当たっての、指針。
信頼できるAIのための倫理ガイドライン|信頼できるAIの、実現のために、守るべき倫理の指針。
人工知能学会倫理指針|人工知能学会が、会員向けに、定めた、倫理の指針。
AIの社会的受容性|AIが、社会に受け入れられる度合い。
特化型AI|特定の分野の、課題を解くために作られた、AI。
汎用AI|人間のように、さまざまな課題に対応できる、AI。
フレーム問題|AIが、状況に関係する、必要な事柄だけを、選び出すことが、難しいという問題。
シンボルグラウンディング問題|AIが、記号(言葉)を、実世界の意味と結びつけて、理解できないという問題。
AIによる認識|AIが、画像や音声などを、判別すること。
AIによる自動化|AIを使って、作業を、自動化すること。
AIアシスタント|音声や文章による指示に、応じて、作業を支援するAI。
生成AI|文章や画像などを、新しく作り出すAI。
マルチモーダルAI|文字・画像・音声など、複数の種類の情報を、組み合わせて扱えるAI。
ランダム性|AIの出力に、含まれる、偶然による、ばらつき。
説明可能なAI|AIの判断の、根拠や過程を、人が理解できるようにする技術。XAI。
ヒューマンインザループ|AIの判断の、過程に、人間が関与して、確認・修正を行う仕組み。
AI利用者の関与によるバイアス|AIを使う人の、入力や、判断によって生じる、偏り。
アルゴリズムのバイアス|AIの、学習データや、アルゴリズムに起因する、判断の偏り。
AIサービスの責任論|AIサービスで、問題が起きたとき、誰が責任を負うかという議論。
AIサービスのオプトアウトポリシー|利用者の、データを、AIの学習に使わないよう、拒否できる方針。
生産方式|製品を、作るための、方式。
生産ラインの編成|生産の、工程や設備を、どのように並べるかを決めること。
NC|数値の指令によって、工作機械を、自動で動かす仕組み。数値制御。
自動監視装置|状況を、自動的に監視する装置。
無人搬送車|人が乗らずに、自動で、荷物を運ぶ車両。AGVともいう。
自動倉庫|コンピュータの制御で、荷物の、出し入れを自動で行う倉庫。
FAシステム|工場の、生産を、自動化するシステム。
CAP|コンピュータを使って、生産計画を、立てるシステム。
CAPP|コンピュータを使って、製造の工程の計画を、立てるシステム。
FMS|さまざまな、製品を、柔軟に作れる、自動化された生産システム。
FMC|工作機械などを、組み合わせた、柔軟な生産の、最小単位。
生産性指標|生産の、効率を、測るための指標。
CAE|コンピュータで、設計した製品の、性能などを、シミュレーションして評価する技術。
PDM|製品の、設計に関する情報を、一元管理するシステム。
CIM|設計から、製造、販売まで、全体を、コンピュータで統合するシステム。
オンラインモール|多くの店舗が出店する、インターネット上の、商店街。
オンラインショッピング|インターネットで、商品を購入すること。
電子入札|入札の、手続きを、インターネットで行う仕組み。
金融取引|お金の、貸し借りや、売買などの取引。
インターネットバンキング|インターネットを通じて、銀行の取引を行うサービス。
組み込み型金融|非金融のサービスの中に、金融サービスを、組み込んで提供する仕組み。
EFT|電子的に、資金を移動する仕組み。電子資金移動。
スマートカード|ICチップを、埋め込んだ、カード。
ICカード・RFID応用システム|ICカードや、RFIDを活用した、システム。
キャッシュレス決済|現金を使わない、支払い方法。
暗号資産|暗号技術を使い、インターネット上で、資産の価値をやり取りできる、電子的なデータ。
中央銀行発行デジタル通貨|中央銀行が、発行する、デジタル形式の、通貨。CBDC。
インターネットビジネス|インターネットを、使って行う、事業。
BtoB|企業と企業の間の、取引。
BtoC|企業と、消費者の間の取引。
CtoC|消費者と、消費者の間の取引。
DtoC|メーカーなどが、消費者に、直接販売する事業形態。
GtoB|政府や自治体と、企業の間の、取引や手続き。
GtoC|政府や自治体と、市民の間の、取引や手続き。
OtoO|オンラインの情報などを、利用して、実店舗への来店を促す仕組み。
OMO|オンラインと、オフラインを、区別せずに、一体で顧客体験を提供する考え方。
アグリゲーションサービス|複数のサービスの、情報を、まとめて提供するサービス。
eマーケットプレイス|インターネット上で、企業が、取引を行う、市場。
クラウドソーシング|インターネットを通じて、不特定多数の人に、仕事を依頼する仕組み。
NFT|唯一のものであることを、証明できる、ブロックチェーン上の、データ。
アカウントアグリゲーション|複数の口座情報を、1か所にまとめて、確認できるサービス。
eKYC|オンラインで、本人確認を、完結させる技術。
AML・CFT|マネー・ローンダリング(資金洗浄)や、テロ資金供与を、防ぐための取組み。
Web-EDI|インターネットを、使って、企業間で受発注などのデータを、交換する仕組み。
JIS X 7011-1|EDIで使われる、通信の規約などを定めた、JIS規格。
JIS X 7012-1|EDIで使われる、データ形式を定めた、JIS規格。
STEP|製品の、設計情報を、異なるシステム間で、交換するための、国際規格。
全国銀行協会手順|銀行間のデータの、やり取りのために、全国銀行協会が定めた、通信手順。
XML-EDI|XMLを使った、電子データ交換の、方式。
情報伝達規約|EDIで、情報を、やり取りするときの、通信の取り決め。
情報表現規約|EDIで、データの、形式や意味を、決める取り決め。
業務運用規約|EDIを、運用するうえでの、業務上の取り決め。
基本取引規約|取引の、基本的な条件についての、取り決め。
JCA手順|流通業界などで、使われている、EDIの通信手順。
SNS|人と人との、つながりを、支援する、インターネット上のサービス。
電子掲示板|インターネット上で、書き込みや閲覧ができる、掲示板。
ブログ|日記のように、記事を時系列で、公開するWebサイト。
ミニブログ|短い文章を、投稿する、簡易なブログ。
ライフログ|日常の、行動や、体験を、記録したデータ。
情報銀行|個人の、データを、預かり、本人の同意のもとで、他の企業に、提供する事業。
CGM|利用者が、投稿する、コンテンツで、成り立つメディア。
エッジAI|端末など、データの発生源の近くで、AIの処理を行う技術。
組込みOS|組込みシステムの、機器に組み込まれて、動作するOS。
リアルタイム制御|決められた時間内に、確実に、処理を完了させる制御。
イベント|システムに起きる、出来事。
BLEビーコン|近距離に、Bluetooth Low Energyで、識別情報などを発信する、小型の機器。
情報家電|インターネットに、つながる家電製品。
コンピュータ周辺／OA機器|プリンタや、コピー機などの、事務用の、機器。
民生用通信端末機器|一般の消費者が、使う、通信のための機器。
ホームネットワーク|家庭内の、機器を、ネットワークでつなぐ仕組み。
ウェアラブルコンピュータ|身に着けて使う、小型のコンピュータ。
ARグラス|現実の景色に、情報を重ねて表示する、眼鏡型の機器。
MRグラス|現実と、仮想の世界を、融合させて表示する、眼鏡型の機器。
VRゴーグル|仮想現実の、世界に入り込むために、頭にかぶる機器。
スマートグラス|情報の、表示や、通信ができる、眼鏡型の機器。
スマートスピーカー|音声で操作する、AIを備えた、スピーカー。
HEMS|家庭の、エネルギーの、使用状況を、見える化して、管理するシステム。
M2M|機械同士が、人を介さず、ネットワークを通じて、情報をやり取りする仕組み。
スマートシティ|ITを、活用して、都市の課題を、解決する、都市の形。
スーパーシティ|AIやデータを使い、生活全般を、先端的に変える、都市。
スマート農業|ロボットやICTを、活用した、省力・高品質な農業。
MaaS|鉄道やバスなどの、移動手段を、ITで、統合して、1つのサービスとして提供する仕組み。
ロボット|センサーやアクチュエータを持ち、自動で、作業する機械。
ドローン|無線などで操縦する、無人の飛行機。
自動販売機|お金を入れると、商品が出てくる、機械。
医療機器|診断や、治療などに使う、機器。
患者モニタリング装置|患者の、生体情報を、継続して、測定・監視する装置。
CASE|自動車産業における、つながる・自動運転・シェア・電動化の、4つの、技術動向。
コネクテッドカー|通信機能を持ち、インターネットに、つながる自動車。
自動運転|人の操作なしで、自動車が、自動で走行する技術。
自動運転レベル|自動運転の、度合いを表す、段階。レベル0〜5に分けられる。
