インターネットサービスプロバイダ|利用者を、インターネットに接続するサービスを提供する事業者。ISPともいう。
ip|Linuxで、ネットワークの設定や、状態を確認するコマンド。
ss|Linuxで、ソケットの、状態を表示するコマンド。
dig|DNSの、問合せ結果を、確認するコマンド。
traceroute|宛先までに通る、ルータの経路を、調べるコマンド。
SNMPエージェント|SNMPで、管理される機器の側で動き、情報を提供するプログラム。
SNMP管理ステーション|SNMPで、機器から情報を集めて、管理する側のコンピュータ。
MIB|SNMPで、管理される情報を、まとめたデータベース。
トンネリング|通信を、別のプロトコルで、包んで送る技術。
SDN|ネットワークの、制御を、ソフトウェアで行うことで、柔軟に構成を変えられる技術。
NFV|ネットワーク機能を、仮想化して、ソフトウェアで実現する技術。
HTMLメール|文字の装飾や画像を、含められる形式の電子メール。
Webメール|Webブラウザで、送受信できる、電子メールのサービス。
CGI|Webサーバから、外部のプログラムを、起動する仕組み。
cookie|Webサイトが、利用者のブラウザに、保存させる、小さなデータ。
セッションID|利用者の、一連の通信を、識別するための番号。
アップロード|自分のコンピュータから、ネットワーク上のサーバへ、データを送ること。
ダウンロード|ネットワーク上の、サーバから、自分のコンピュータへ、データを受け取ること。
アクティブモード|FTPで、サーバ側から、クライアントへ接続して、データを転送するモード。
パッシブモード|FTPで、クライアント側から、サーバへ接続して、データを転送するモード。
全文検索型検索エンジン|登録された文書の、本文全体を対象に、検索できる、検索エンジン。
ロボット型検索エンジン|プログラム(ロボット)が、Webページを、自動で集めて索引を作る、検索エンジン。
相手固定接続|通信相手が、あらかじめ決まっている、接続方式。
EC|インターネットなどを、介して行う、商品やサービスの売買。電子商取引ともいう。
専用線サービス|契約者だけが、使える、通信回線を提供するサービス。
回線交換サービス|通話の間、回線を占有する、通信サービス。
パケット交換サービス|データを、パケットに分けて送る、通信サービス。
IP電話|インターネットの技術で、音声を送る、電話サービス。
FTTH|光ファイバを、家庭まで引き込む、高速な通信サービス。
衛星通信サービス|通信衛星を、経由して行う、通信サービス。
国際通信サービス|国と国の間で、行う通信のサービス。
広域Ethernet|離れた拠点のLANを、Ethernetのまま、つなぐ、広域のサービス。
IP-VPN|通信事業者の、閉じたIPネットワークを、使って、拠点間を安全に接続するサービス。
移動体通信事業者|携帯電話などの、移動体通信の、回線を提供する事業者。MNOともいう。
仮想移動体通信事業者|移動体通信事業者から回線を借りて、サービスを提供する事業者。MVNOともいう。
LTE|3Gの、次の世代の、高速な移動体通信の規格。
VoLTE|LTEの回線を使って、音声通話を行う技術。
5G|高速大容量・低遅延・多数同時接続を特徴とする、第5世代の移動体通信。
ローカル5G|企業や自治体などが、限られたエリアで、自ら構築して使う5G。
キャリアアグリゲーション|複数の周波数帯を、束ねて、通信の速度を高める技術。
SIMカード|携帯電話の、契約者を識別する、情報が入ったカード。SIMはSubscriber Identity Module(加入者識別モジュール)の略。
SIMフリー|端末が、特定の通信会社に、しばられず、どの会社のSIMカードでも使えること。SIMカードが付属している、という意味ではない。
eSIM|端末に、あらかじめ、組み込まれた、書き換えできるSIM。Embedded SIMの略で、物理的なカードの、抜き差しが不要。
テザリング|スマートフォンを、経由して、他の機器をインターネットに接続する機能。
テレマティクス|自動車などの、移動体に、通信を組み合わせて、情報サービスを提供する仕組み。
ハンドオーバー|移動中の、端末が、通信を切らずに、基地局を切り替えること。
ローミング|契約している事業者の、通信エリア外でも、他の事業者の回線を使えること。
MIMO|複数のアンテナを、使って、送受信することで、通信を高速化する技術。
LPWA|少ない電力で、広い範囲に、通信できる無線通信の技術。
IoTエリアネットワーク|IoT機器を、つなぐための、狭い範囲のネットワーク。
