真正性|利用者や情報が、主張どおりの本物であること。
FIDO2|Webブラウザなどで、パスワードレス認証を実現する、FIDOの規格。
EMV3-Dセキュア|オンラインのカード決済で、本人確認を行う、仕組みの規格。
セキュリティトークン|認証に使う、ワンタイムパスワードなどを、生成する小型の機器。
身体的特徴|指紋や顔、虹彩など、身体に備わった、生体認証に使う特徴。
行動的特徴|筆跡や、キー入力の癖など、行動に現れる、生体認証に使う特徴。
本人拒否率|本人であるのに、誤って、拒否してしまう確率。
他人受入率|他人であるのに、誤って、受け入れてしまう確率。
デジタル証明書|公開鍵の持ち主を、認証局が証明する、電子的な証明書。
ルート証明書|認証局の、階層の、頂点にある、認証局が発行する、自己署名の証明書。
トラストアンカー|信頼の起点として、あらかじめ信頼されている、認証局や証明書。
中間CA証明書|ルート認証局と、サーバ証明書を発行する認証局の間にある、認証局の証明書。
サーバ証明書|Webサイトなどの、サーバが、本物であることを証明する証明書。
クライアント証明書|利用者(クライアント)が、本人であることを証明する証明書。
OCSP|証明書が、失効していないかを、リアルタイムに確認するプロトコル。
CA|デジタル証明書を、発行し、その正しさを保証する機関。認証局ともいう。
GPKI|日本の、政府機関などが、運用する、公開鍵基盤。
BCA|政府認証基盤の、ブリッジ認証局。異なる認証局同士を、相互に信頼させる。
