フィルタリング|データや信号から、条件に合うものだけを選び出したり、不要な成分を取り除いたりする処理。|迷惑メールを除外する、ノイズを取り除く。
オープンループ|出力の結果を入力側へ戻さず、決められた操作だけを行う制御方式。|設定した時間だけ加熱する電子レンジ。
応答特性|システムに入力を与えたとき、出力がどのように変化するかを表す性質。
最短経路探索|グラフ上の2点間で、通る距離の合計が最も短い道筋を求める問題。
ダイクストラ法|出発点から、近い順に最短距離を確定させていく最短経路探索法。辺の重みは負でない。
ベルマンフォード法|辺の重みが負でも使える最短経路探索法。
文字列照合|長い文字列の中から、特定の文字列を探し出す処理。
形態素解析|文を、意味を持つ最小の単位(形態素)に分けて、品詞を判定する処理。
構文解析|文の構造(主語と述語などの関係)を明らかにする処理。
意味解析|文の意味を、コンピュータが扱える形で明らかにする処理。
文脈解析|前後の文とのつながりから、文の意味を読み取る処理。
係り受け解析|文中の言葉が、どの言葉に係っているかを解析する処理。
n-gram|文字や単語を、連続したn個の並びで区切って扱う方法。
文章間類似度|2つの文章が、どのくらい似ているかを表す数値。
再帰性|プログラムが、実行中に自分自身を呼び出しても、正しく動作する性質。
分割統治法|問題を小さく分けて解き、その結果を合わせて全体の解を得る手法。|クイックソート、マージソート。
プログラミング|プログラム言語を使って、コンピュータへの命令を書くこと。
コーディング標準|プログラムの書き方について、チームで決めたルール。
字下げ|処理の構造が見やすくなるように、行頭に空白を入れること。インデントともいう。
ネストの深さ|条件分岐や繰返しが、入れ子になっている段数。深いと読みにくい。
命名規則|変数や関数の名前の付け方についての決まり。
使用禁止命令|不具合の原因になりやすいため、使わないと決められた命令。
プログラムの機能適合性・性能効率性・使用性・保守性の向上|品質を高めるため、機能・性能・使いやすさ・直しやすさに配慮して作ること。
モジュール独立性|モジュール同士の結びつきが弱く、それぞれが独立している度合い。高いほどよい。
メインルーチン|プログラム全体の流れを制御する、中心となる部分。
サブルーチン|メインから呼び出される、ひとまとまりの処理。
整数型|小数点以下を持たない、整数を扱うデータ型。
実数型|小数点以下を持つ、実数を扱うデータ型。
論理型|真と偽のどちらかを扱うデータ型。
文字型|1文字を扱うデータ型。
文字列型|文字が並んだ、文字列を扱うデータ型。
抽象データ型|データの中身の作りではなく、行える操作で定義したデータ型。|スタック、キュー。
構造型|複数の異なる型のデータを、まとめて1つの型として扱うデータ型。
代入|変数に値を入れること。
算術演算|足し算や引き算などの、数値の計算。
比較演算|2つの値の大小や等しいかを比べる演算。
論理演算|真偽の値に対して行う、AND、OR、NOTなどの演算。
ビット演算|ビット単位で行う、論理演算やシフト演算。
選択処理|条件によって、実行する処理を選ぶ制御構造。
局所変数|定義された関数の中だけで使える変数。ローカル変数ともいう。
オブジェクト指向プログラミング|データと処理をまとめたオブジェクトを組み合わせて、プログラムを組み立てる方法。
コンストラクタ|オブジェクトを生成するときに、自動的に呼ばれる初期化のための処理。
メンバ変数|クラスが持つ、データ(属性)を保持する変数。
オーバーライド|継承したメソッドを、子クラスで、内容を書き換えて定義し直すこと。
オーバーロード|同じ名前のメソッドを、引数の違いで複数定義すること。
Webプログラミング|Webで動作するアプリケーションを作るためのプログラミング。
サーバサイドプログラミング|Webサーバ側で動作するプログラムを作ること。
リッチクライアント|ブラウザ側でも多くの処理を行い、操作性を高めたWebアプリケーション。
Ajax|ページ全体を再読み込みせず、必要な部分だけを非同期で更新する技術。
フロントエンドフレーム|Webの画面側を効率よく作るための、骨組みとなるソフトウェア。
手続型言語|処理の手順を、順に記述していく型のプログラム言語。|C、COBOL。
オブジェクト指向言語|オブジェクト指向の考え方でプログラムを書ける言語。|Java、C++、Python。
スクリプト言語|簡易的に、記述してすぐ実行できる、軽量なプログラム言語。|JavaScript、Python。
Fortran|科学技術計算に使われる、歴史の古いプログラム言語。
COBOL|事務処理や、業務システムに使われてきたプログラム言語。
Pacal|プログラミング教育を目的として作られた、構造化プログラミングに向く言語(正しくはPascal)。
BASIC|初心者向けに作られた、簡単なプログラム言語。
C|OSや組込み機器の開発に使われる、高速で汎用的な手続型言語。
R|統計解析やデータ分析に向く、プログラム言語。
Java|OSに依存せず動作する、オブジェクト指向言語。
C++|C言語にオブジェクト指向の機能を加えた言語。
Julia|科学技術計算やデータ分析に向く、高速なプログラム言語。
Go|Googleが開発した、並行処理に強い、シンプルな言語。
ECMAScript|JavaScriptの標準仕様。
Perl|文字列処理に強く、Webの初期のプログラムによく使われたスクリプト言語。
PHP|Webページの生成に向く、サーバ側で動くスクリプト言語。
Python|読みやすい書き方が特徴の、AIやデータ分析でよく使われる言語。
Ruby|簡潔に書け、オブジェクト指向に徹した日本発のスクリプト言語。
共通言語基盤|複数のプログラム言語で作ったプログラムを、同じ環境で実行できるようにする仕組み。CLIともいう。
マークアップ言語|タグで文書の構造や意味を表す言語。|HTML、XML。
開始タグ|要素の始まりを表すタグ。|<p>
終了タグ|要素の終わりを表すタグ。|</p>
DTD|XML文書の、要素や構造のルールを定義するもの。
SGML|文書の構造を定義するマークアップ言語の元になった規格。HTMLやXMLの原型。
DOM|HTMLやXML文書を、木構造としてプログラムから操作するための仕組み。
SOAP|XMLを使って、ネットワーク越しにメッセージをやり取りするプロトコル。
SVG|XMLで、ベクタ画像を表現する形式。
SAX|XML文書を先頭から順に読みながら、処理していく方法。
XML Schema|XML文書の構造や、データ型を定義する仕様。
XHTML Basic|携帯機器向けに、XHTMLの機能を絞った仕様。
XHTML Modularization|XHTMLの機能を、部品(モジュール)に分けて組み合わせられるようにした仕様。
XSL|XML文書の、表示形式や変換方法を指定する言語。
オブジェクト図|ある時点の、オブジェクトとその関係を表すUMLの図。
コンポーネント図|システムを構成する部品と、その依存関係を表すUMLの図。
パッケージ図|クラスなどを、パッケージにまとめて、その依存関係を表すUMLの図。
配置図|ソフトウェアが、どのハードウェアに配置されるかを表すUMLの図。
コンポジット構造図|クラスの内部構造と、部品同士の連携を表すUMLの図。
アクティビティ図|業務や処理の流れを表すUMLの図。
ステートマシン図|オブジェクトの状態が、どう変わっていくかを表すUMLの図。
コミュニケーション図|オブジェクト同士の、メッセージのやり取りを表すUMLの図。
相互作用概要図|複数の相互作用の流れを、アクティビティ図のように表すUMLの図。
タイミング図|時間の経過に沿った、状態の変化を表すUMLの図。
操作|クラスが持つ処理。メソッドともいう。
属性|クラスが持つデータの項目。
ロール名|関連の端で、その関連における役割を示す名前。
YAML|インデントで階層を表す、人間が読みやすいデータ記述形式。設定ファイルによく使う。
AND回路|入力がすべて1のときだけ1を出力する回路。
OR回路|入力のどれかが1のとき1を出力する回路。
NOT回路|入力を反転して出力する回路。
NAND回路|ANDの結果を反転して出力する回路。
論理式|論理演算を、記号で表した式。
正論理|高い電圧を1、低い電圧を0に対応させる考え方。
負論理|低い電圧を1、高い電圧を0に対応させる考え方。
真理値表|入力のすべての組合せに対する出力を、表にまとめたもの。
オープンループ制御|結果を確認せず、決められた手順どおりに行う制御。
クローズドループ制御|結果を確認し、目標との差を修正しながら行う制御。
シーケンス制御|あらかじめ決めた順序で、順番に動作を進めていく制御。|信号機、洗濯機。
フィードバック制御|出力を検出して入力側へ戻し、目標との差を修正する制御。
PWM制御|パルスのオン・オフの時間の割合を変えて、平均の電力を調整する制御。|モータの速度調整、LEDの調光。
ダイオード|電流を、一方向にしか流さない半導体素子。
LED|電流を流すと光る半導体素子。発光ダイオードともいう。
トランジスタ|小さな電気信号で、大きな電流を制御したり、スイッチとして働いたりする半導体素子。
IC|多数の素子を、1つの小さなチップにまとめた集積回路。
LSI|数千~数十万個の素子を集積した回路。大規模集積回路ともいう。
VLSI|LSIより、さらに高密度に素子を集積した回路。超大規模集積回路ともいう。
回路設計|目的の動作をする、電子回路を設計すること。
