利用の状況|システムが、どんな人が、どんな場面で、使われるかという状況。
開発の生産性|開発に、かかる労力に対して、得られる成果の度合い。
運用性|運用のしやすさ。
処理能力|一定の時間に、処理できる量。
再利用性|部品などを、他の開発で、再利用しやすい度合い。
STS分割|プログラムを、入力(Source)・変換(Transform)・出力(Sink)に、分割する方法。
TR分割|入力される、トランザクションの種類ごとに、処理を分割する方法。
共通機能分割|複数の処理に、共通する機能を、独立したモジュールとして取り出す方法。
モジュールの制御領域|あるモジュールが、直接または間接に、呼び出せるモジュールの範囲。
モジュールの影響領域|あるモジュールの、判断の結果が、影響を及ぼすモジュールの範囲。
分割量|モジュールを、分割する、大きさの目安。
モジュール再分割|モジュールが大きすぎる場合に、さらに分割すること。
従属モジュール|他のモジュールから、呼び出される、下位のモジュール。
コンポーネントウェア|ソフトウェアの部品を、組み合わせて、システムを構築する開発手法。
MVCモデル|処理を、データ(Model)・表示(View)・制御(Controller)に、分ける設計の考え方。
ピアレビュー|同じ立場の、仲間同士で、行うレビュー。
デザインレビュー|設計の、内容を、関係者で確認する、レビュー。
モデレーター|レビューを、進行し、取りまとめる人。
文書化手法|設計の内容を、文書として、記述する方法。
共同レビュー|開発者と、発注者などが共同で、行うレビュー。
プログラム言語|プログラムを書くための、言語。
データ処理|データを、加工したり、計算したりする処理。
モジュール仕様|モジュールの、機能や、インタフェースを、定めた仕様。
追跡可能性|要件と、成果物の、対応関係を、たどれること。
外部一貫性|上位の成果物と、矛盾していないこと。
内部一貫性|成果物の、内部で、矛盾がないこと。
テスト網羅性|必要な、テストの項目が、もれなく、含まれている度合い。
コーディング方法及び作業標準の適切性|コーディングの方法や、作業の標準が、適切であるかどうか。
ソフトウェア統合及びテストの実現可能性|ソフトウェアを、統合してテストできる、見込みがあること。
運用及び保守の実現可能性|運用や保守が、無理なく行えること。
インデンテーション|処理の構造が、見やすくなるよう、行頭に空白を入れること。字下げ。
ネスト|条件分岐や繰返しの、中に、さらに条件分岐や繰返しを、入れること。入れ子。
コード補完|入力の途中で、候補を表示して、コードの入力を、支援する機能。
オートインデント|改行時に、自動で字下げを、行う機能。
コードオーディター|ソースコードを、編集するための、エディタ。
シンタックスハイライト|プログラムの文法要素ごとに、色分けして表示する機能。
ブレークポイント|デバッグ時に、プログラムの実行を、一時停止させる位置。
メトリクス計測|プログラムの、規模や複雑さなどを、数値で測ること。
コードインスペクション|ソースコードを、詳細に検査して、誤りを見つける手法。
ピアコードレビュー|開発者の、仲間が、コードを、読み合って確認する手法。
サイクロマティック複雑度|プログラムの、分岐の数から、複雑さを測る指標。
デバッグ環境|デバッグを、行うための環境や、ツール。
静的解析|プログラムを、実行せずに、ソースコードを解析して問題を見つける手法。
動的テスト|プログラムを、実際に、実行して行うテスト。
アサーション|プログラムの、特定の場所で、成り立つべき条件を、記述しておく仕組み。
デバッガ|プログラムの、誤りを、見つけて直すための、支援ツール。
障害|システムが、正常に動作しなくなること。
欠陥|プログラムなどにある、障害の原因となる、誤り。
障害分析|障害の原因や、影響を、調べること。
テスト方法論|テストを、体系的に進めるための、考え方や方法。
テスト範囲|テストの対象とする、範囲。
テスト準備|テストを、実施するための、準備の作業。
テスト実施者|テストを、実際に行う人。
ユニットテスト|プログラムの、最小の単位(ユニット)ごとに行うテスト。単体テストともいう。
テストデータジェネレーター|テストに使う、データを、自動的に作るツール。
テスト設計と管理手法|テストの、設計と、進捗を管理するための、手法。
テストケース|テストで、確認する、入力と、期待する結果の組。
複数条件網羅|判定条件の、条件の、すべての組合せを、網羅するテスト。
限界値分析法|入力範囲の、境界の値を、選んで確認する、テストの設計手法。
同値分析法|入力を、同じ結果になるグループに分けて、代表値で確認する、テストの設計手法。
原因結果グラフ法|原因と結果の、関係を図に表して、テストケースを、導く手法。
エラー埋込法|プログラムに、意図的に誤りを埋め込み、そのうち見つかった数から、残りの誤りを推定する手法。
実験計画法|少ない実験で、効率よく結果を得るために、要因の組合せを、計画する手法。
テスト手順|テストを、実施する、手順。
テストデータ|テストで使う、入力用のデータ。
ソフトウェア要件|ソフトウェアに求められる、機能や、性能などの、要件。
監査|活動や、成果物を、第三者が、点検・評価すること。
統合する順序|モジュールを、結合してテストする、順番。
再帰戦略|統合テストで、変更したモジュールを、繰り返しテストする戦略。
テスト計画|テストの目的や、範囲、日程などを定めた計画。
ソフトウェア統合テスト報告書|ソフトウェア統合テストの、結果を、まとめた報告書。
機能テスト|システムが、仕様どおりの機能を、備えているかを確認するテスト。
非機能要件テスト|性能・信頼性・セキュリティなど、機能以外の要件を確認するテスト。
性能テスト|処理速度や応答時間などが、要件を満たすかを確認するテスト。
負荷テスト|大量のデータや、多数のアクセスを与えて、耐えられるかを確認するテスト。
セキュリティテスト|セキュリティの、要件を満たし、脆弱性がないかを確認するテスト。
ファジング|ランダムなデータを、大量に入力し、不具合や脆弱性を見つけるテスト手法。
システム要件|システム全体に、求められる要件。
納品|完成した成果物を、発注者に、引き渡すこと。
導入要件|システムを導入するときの、要件。
導入可否判断基準|システムを、導入してよいかを判断するための、基準。
インストール計画の作成|システムを、インストールするための、計画を、作ること。
導入作業|システムを、実際に、利用環境へ設置・設定する作業。
導入手順|システムを、導入するための手順。
導入体制|システムの、導入を行うための、体制。
利用部門|システムを、実際に、使う部門。
システム運用部門|システムの、運用を担当する部門。
仮想環境|仮想化技術で作られた、コンピュータなどの環境。
教育訓練資料|利用者などに、教育・訓練を行うための、資料。
受入れ手順|納品されたものを、受け入れるための、手順。
受入れ基準|受け入れてよいかを判断する、基準。
検収|納品された成果物が、要件を満たしているかを、発注者が確認して、受け取ること。
検収基準|検収の、合否を判断する、基準。
受入れ体制|受入れを、行うための、体制。
教育訓練システム|教育・訓練のために、用意する、システム。
運用規程|システムの運用に関する、規則。
利用者用文書類|利用者が、システムを使うために必要な、文書。
システム利用文書|システムの、利用方法を、説明した文書。
ソフトウェア利用文書|ソフトウェアの、利用方法を、説明した文書。
妥当性確認テストの目的|システムが、利用者の要求を、満たしていることを確認する、テストの目的。
成功基準|テストなどの、成功を判断する、基準。
適用する妥当性確認テストの技法|妥当性確認テストで、使う、技法。
各妥当性確認テストを実施するための環境条件|妥当性確認テストを、実施するために必要な、環境の条件。
