仕訳帳|日々の取引を、発生した順に、記録する帳簿。
匿名加工情報|個人を、特定できないように、加工し、元に戻せないようにした情報。
仮名加工情報|他の情報と照合しない限り、個人を特定できないよう、加工した情報。
マイナンバー法|マイナンバーの、利用や取扱いについて、定めた法律。
特定個人情報の適正な取扱いに関するガイドライン|マイナンバーを、含む個人情報を、適切に扱うための指針。
個人情報保護委員会|個人情報の、保護に関する、事務を担う、国の機関。
プライバシーマーク|個人情報を、適切に取り扱っている事業者に、付与されるマーク。
OECDプライバシーガイドライン|プライバシー保護と、個人データの流通に関する、国際的な指針。
一般データ保護規則|EUで、適用される、個人データ保護のための規則。GDPR。
オプトイン|利用者が、事前に、同意した場合に限って、利用を認める方式。
オプトアウト|利用者が、拒否した場合に、利用を停止する方式。
第三者提供|個人データを、本人以外の、第三者に提供すること。
認定認証事業者|電子署名法で、認定された、認証業務を行う事業者。
電子証明書|電子的に、本人性や、内容を証明する証明書。
36協定|時間外労働や、休日労働を、行わせるための、労使間の協定。
裁量労働制|実際の労働時間に関係なく、あらかじめ、決めた時間を働いたと、みなす制度。
フレックスタイム制|一定の期間の、総労働時間を決め、始業・終業の時刻を、自由に決められる制度。
母性保護|妊娠・出産する、女性の、健康を守るための、保護。
労働者派遣契約|派遣元と、派遣先の間で、結ぶ契約。
雇用契約|労働者が、労働を提供し、使用者が、賃金を支払うことを約束する契約。
指揮命令|使用者が、労働者に、業務の指示を出すこと。
偽装請負|請負契約なのに、実際には、発注者が、労働者を指揮命令している状態。
二重派遣の禁止|派遣された労働者を、さらに別の企業へ派遣することの禁止。
労働契約法|労働契約の、基本的な事項を定め、労働者を保護する法律。
労働安全衛生法|労働者の、安全と健康を、守るための、法律。
労働施策総合推進法|労働に関する、施策を、総合的に推進するための法律。パワハラ防止の規定もある。
男女雇用機会均等法|雇用における、男女の均等な機会と待遇を確保するための法律。
育児・介護休業法|育児や介護をする労働者が、仕事を続けやすいよう、休業などを定めた法律。
パートタイム労働法|パートタイム労働者の、待遇の改善などを、定めた法律。
フリーランス・事業者間取引適正化等法|フリーランスに、業務を委託する際の、取引の適正化を図る法律。
高年齢者雇用安定法|高年齢者の、雇用の安定などを、定めた法律。
中小受託取引適正化法|下請法を、改正・改称した、中小企業への、委託取引の適正化を図る法律。
製造委託|製品などの、製造を、他の事業者に委託すること。
役務提供委託|サービスの提供を、他の事業者に、委託すること。
情報成果物|プログラムや、映像など、情報として、作成される成果物。
委託事業者|業務を、委託する側の、事業者。
中小受託事業者|委託を受ける側の、中小の事業者。
成果物の完成責任|請負契約で、受注者が、成果物を、完成させる責任。
電子消費者契約法|インターネットでの、契約における、操作ミスなどを、救済する法律。
特定商取引法|通信販売など、トラブルが、起きやすい取引について、消費者を保護する法律。
特定デジタルプラットフォームの透明性及び公正性の向上に関する法律|大規模なプラットフォーム事業者に、取引条件の開示などを求める法律。
資金決済法|電子マネーや、暗号資産などの、資金決済に関する法律。
景品表示法|不当な、表示や、過大な景品を、規制する法律。
パブリックドメイン|著作権が消滅するなどして、誰でも自由に、利用できる状態の著作物。
NDA|業務上、知った秘密を、第三者に漏らさないことを、約束する契約。秘密保持契約。
ボリュームライセンス契約|ソフトウェアを、大量に導入する場合の、割引などを定めたライセンス契約。
サイトライセンス契約|特定の、組織や施設内で、ソフトウェアを、自由に使えるライセンス契約。
シュリンクラップ契約|パッケージを、開封した時点で、使用許諾に同意したとみなす契約。
CAL|サーバに接続する、クライアントが、必要とするライセンス。
OSSライセンス|OSSの、利用・改変・再配布の条件を、定めたライセンス。
LGPL|ライブラリなどに、使われることの多い、GPLよりも、制限が緩やかなライセンス。
デジタル社会の形成|デジタル技術を、活用して、社会全体を、変革していくこと。
多様な主体による情報の円滑な流通の確保|さまざまな主体の間で、情報が、円滑に流通するようにすること。
高度情報通信ネットワークの利用及び情報通信技術を用いた情報の活用|高速なネットワークと、ITを、活用して、情報を役立てること。
ベースレジストリ|公的な、基礎データを、正確な状態で、共有・活用するための、データベース。
サイバーセキュリティの確保|デジタル社会での、サイバーセキュリティを、守ること。
デジタル庁の設置|日本の、デジタル化を、推進する行政機関の、設置。
官民データ|国、地方公共団体、事業者などが、保有する、電子的なデータ。
行政手続に係るオンライン利用の原則化|行政の手続きを、原則としてオンラインで、行えるようにすること。
国・地方公共団体・事業者が自ら保有する官民データの活用の推進|国などが、自ら持つデータを、活用するように進めること。
情報通信技術の利用機会又は活用に係る格差の是正|ITを、使える人と、使えない人の間の格差を、なくすこと。
企業倫理|企業が、事業活動において、守るべき、倫理的な規範。
ビジネスと人権|企業活動が、人権に与える影響に、配慮し、尊重する考え方。
輸出関連法規|技術や、製品などの、輸出に関する、法律や規則。
ネチケット|インターネット上で、守るべき、マナー。
データのねつ造・改ざん・盗用|データを、でっち上げたり、書き換えたり、他人のものを、無断で使ったりする不正行為。
チェーンメール|受け取った人に、同じ内容を、次々に転送するよう求める、メール。
フェイクニュース|事実ではない、偽の、ニュース。
マルインフォメーション|事実に基づくが、危害を与える目的で、公開される情報。
ディスインフォメーション|人をだます目的で、意図的に、流される、誤った情報。
ミスインフォメーション|悪意はないが、誤った情報。
ヘイトスピーチ|特定の、人や集団に対する、憎悪や、差別を、あおる言動。
エコーチェンバー|同じような、意見の人ばかりが集まって、その意見が、増幅される現象。
フィルターバブル|自分の関心に、合った情報ばかりが、表示され、異なる意見に触れにくくなる状態。
デジタルタトゥー|インターネット上に、一度公開された情報が、消えずに、残り続けること。
ペアレンタルコントロール|子どもの、機器やサービスの利用を、保護者が、制限・管理する機能。
ファクトチェック|情報の、真偽を、確認すること。
倫理的・法的・社会的な課題|新しい技術に、伴って生じる、倫理・法律・社会の課題。ELSI。
技術者の倫理綱領|技術者が、守るべき、行動の規範を、まとめたもの。
技術者の社会的責任|技術者が、社会に対して、負う責任。
モラル|社会で、守るべき、道徳。
プロフェッショナリズム|専門家としての、高い倫理観と、責任感を持って、職務に取り組む姿勢。
集団思考|集団の、意見が一致しやすく、異論を唱えにくいために、誤った判断に至る現象。
内部告発|組織の、内部の人が、不正などを、外部に知らせること。
電気通信事業法|電気通信事業の、公共性を確保し、利用者を保護するための法律。
電波法|電波の、公平で能率的な利用を、確保するための法律。
情報流通プラットフォーム対処法|プラットフォームでの、違法な情報への、対応を定めた法律。
通信傍受法|犯罪の、捜査のために、通信の傍受を、認める場合の条件を、定めた法律。
有価証券報告書|上場企業などが、事業年度ごとに提出する、企業の情報を記載した書類。
内部統制報告書|財務報告に関する、内部統制の、評価結果を記載した書類。
取締役|会社の、業務執行を決定する、役員。
執行役|委員会設置会社で、業務執行を担う、役員。
監査役|取締役の職務を、監査する役員。
委員会設置会社|監査委員会などを、設置して、経営の監督と、執行を分ける会社の形態。
事業報告|事業の、状況を、株主などに報告する書類。
法人税法|法人の、所得に対する税金を、定めた法律。
消費税法|商品やサービスの、消費に課される税金を、定めた法律。
適格請求書等保存方式|消費税の、仕入税額控除を、受けるために、一定の請求書を保存する方式。インボイス制度。
e-文書法|法律で、保存が義務づけられた文書を、電子データとして、保存することを認める法律。
電子帳簿保存法|帳簿や書類を、電子データで、保存するための、要件などを定めた法律。
道路運送車両法|自動車の、登録や、安全性などについて、定めた法律。
航空法|航空機の、安全な運航などを、定めた法律。無人航空機の規制も含む。
小型無人機等飛行禁止法|重要な施設の周辺で、ドローンなどの飛行を、禁止する法律。
PL法|製造物の欠陥によって、損害が生じたとき、製造者が責任を負うことを定めた法律。製造物責任法。
情報公開法|行政機関が、保有する、情報の開示を、請求できる権利を定めた法律。
廃棄物処理法|廃棄物の、適正な処理や、清掃について、定めた法律。
リサイクル法|資源の、有効な、利用を促進するための法律。
GX推進法|脱炭素社会への、移行を、推進するための法律。
GX脱炭素電源法|脱炭素の電源の、利用を、促進するための法律。
省エネ法|エネルギーの、使用の合理化を、進めるための法律。
外国為替及び外国貿易法|外国との、取引や、貿易を管理する法律。外為法。
JIS X部門|情報処理に関する、JIS規格の分野。
JIS Q部門|管理システムに関する、JIS規格の分野。
JISC|日本の、産業標準化を、調査・審議する機関。日本産業標準調査会。
JSA|規格の、普及や、標準化を推進する、日本の団体。日本規格協会。
IS|ISOなどが、制定した、国際規格。
国際認証|国際的な、規格に、適合していることを、認める認証。
ITU|電気通信の分野の、国際標準を定める、国連の専門機関。
IEC|電気・電子分野の、国際規格を策定する、国際機関。
IETF|インターネットの、技術を標準化する、組織。
ANSI|アメリカの、国家規格を、策定する組織。
W3C|Webの、技術を標準化する、国際的な組織。
フォーラム標準|関心を持つ企業などが、集まって作る、業界の標準。
デジュレスタンダード|公的な、機関が、正式に定めた標準。
JIS X 0170|システムの、開発や運用に関して、標準化した規格の一つ。
JIS Q 14001|環境マネジメントシステムの、要求事項を定めた、JIS規格。
OMG|オブジェクト指向技術の、標準化を、行う団体。
EJB|Javaで、業務ロジックを、部品として作るための、仕様。
文字コード|文字を、コンピュータで、扱うために、番号を割り当てた規則。
JISコード|日本産業規格が、定めた、文字コード。
Unicode|世界中の、文字を、統一して扱える、文字コード。
JANコード|商品に付ける、日本の、共通の、バーコード。
ITFコード|物流用の、段ボールなどに使われる、バーコード。
ISBNコード|書籍を、識別する、国際標準の番号。
適合性評価|製品や、サービスが、規格に適合しているかを、評価すること。
適合性評価機関|適合性の評価を、行う機関。
認定機関|適合性評価機関が、適切かを確認し、認定する機関。
認証機関|製品やシステムが、規格に、適合していることを、認証する機関。
試験機関|製品などの、試験を行う機関。
米国輸出関連法|アメリカの、技術や製品の、輸出を規制する法律の総称。日本企業にも、再輸出などで適用されることがある。
