サービスコンポーネント|サービスを、構成する、要素。
回避策|根本の解決ではなく、影響を避けるための、一時的な方法。
重大なインシデント|業務に、大きな影響を与える、インシデント。
サービス要求管理|利用者からの、サービスの要求を、受付・処理する管理。
緊急度|対応を、急ぐ必要の度合い。
優先順位|対応する、順番。
実現|要求されたことを、できるようにすること。
既知の誤り|原因が、分かっており、回避策などが見つかっている問題。
サービス可用性管理|サービスが、必要なときに、使えるように、管理すること。
回復力|障害などから、立ち直る、能力。レジリエンス。
事業継続計画|災害などが起きても、事業を継続するための計画。BCPともいう。
サービス継続計画|災害などが起きても、サービスを、継続するための計画。
復旧|障害から、元の状態に、戻すこと。
RTO|障害が起きてから、復旧するまでの、目標時間。目標復旧時間。
RPO|障害が起きたとき、どの時点までのデータを、復旧させるかの目標。目標復旧時点。
RLO|復旧させる、サービスの水準の、目標。目標復旧レベル。
ウォームスタンバイ|予備のシステムを、起動したまま、待機させておく方式。
サービスの報告|サービスの、実績や状況を、関係者に、報告すること。
傾向情報|時間の経過に伴う、変化の傾向を示す情報。
不適合|要求事項を、満たしていないこと。
継続的改善|サービスや、管理の仕組みを、繰り返し、改善し続けること。
ギャップ分析|現状と、目標との、差を分析すること。
CSF|目標を、達成するうえで、決定的に重要な要因。重要成功要因。
KPI|目標の達成度を、測るための、重要な指標。重要業績評価指標。
KGI|最終的な、目標の達成度を測るための、指標。重要目標達成指標。
システム運用管理|システムの、運用を、計画的に管理すること。
運用の資源管理|運用で使う、資源を、管理すること。
仮想環境の運用管理|仮想化された環境を、運用・管理すること。
ジョブの管理|ジョブの、実行状況などを、管理すること。
データ管理|データを、保管・保護し、適切に管理すること。
利用者の管理|システムの、利用者や、その権限を管理すること。
AIOps|AIを活用して、システムの運用を、自動化・効率化する取組み。
運用オペレーション|システムを、動かすための、日常の操作。
スケジュール設計|ジョブなどの、実行の、日程を設計すること。
ジョブスケジューリング|ジョブの、実行順序と時刻を、決めること。
システムの監視と操作|システムの、状態を監視し、必要な操作を行うこと。
アウトプットの管理|システムが、出力した結果の、配布や管理。
ジョブの復旧と再実行|ジョブが、異常終了したときに、復旧させ、再度実行すること。
運用支援ツール|システムの運用を、支援する、ツール。
業務運用マニュアル|業務の、運用手順を、記載した、マニュアル。
SPOC|利用者からの、問合せを、一手に受ける、単一の窓口。
コールセンター|電話などで、問合せを、受け付ける部門。
CTI|電話と、コンピュータを、連携させて、電話対応を効率化する技術。
FAQ|よくある質問と、その回答をまとめたもの。
応対マニュアル|問合せへの、対応の方法を、まとめたマニュアル。
知識ベース|問題の解決に役立つ、情報を、蓄積したデータベース。
一次サポート|利用者からの問合せを、最初に受け付けて、対応する窓口。
AIの活用|問合せ対応などに、AIを使って、効率化すること。
施設管理|建物や、設備を、維持・管理すること。
建物管理|建物の、維持や、安全の管理。
電気設備|電力を、供給する、設備。
空調設備|温度や湿度を、調整する、設備。
通信設備|通信のための設備。
施設・設備の維持保全|施設や設備を、正常な状態に、保つこと。
環境側面|組織の活動が、環境に与える影響の要素。
グリーンIT|環境への負荷を、減らすための、ITの活用や、省エネの取組み。
