RDB|データを、表(テーブル)の形で管理する、関係データベース。
SELECT文|表から、条件に合う、データを取り出すSQL文。
集約関数|合計や平均など、複数の行から、1つの値を求める関数。|SUM、AVG、COUNT。
パターン文字列|LIKE述語で、文字列の一部が一致するかを調べるための、ワイルドカードを含む文字列。
相関名|SQLで、表につける、別名。
INSERT文|表に、新しい行を、追加するSQL文。
UPDATE文|表の、既存の行の値を、変更するSQL文。
DELETE文|表から、行を削除するSQL文。
GRANT文|ユーザーに、表などへの、操作の権限を与えるSQL文。
カーソル|SELECTの結果を、1行ずつ、取り出して処理するための仕組み。
ロック方式|データに鍵をかけて、他の処理から更新できないようにする、排他制御の方式。
セマフォ方式|資源の、利用可能な数を管理して、排他制御を行う方式。
ロック粒度|ロックをかける、対象の大きさ。行、ページ、表など。
2相コミットメント|複数のデータベースの更新を、全部確定するか、全部取り消すかを、そろえるための、手順。
ジャーナルファイル|データベースの、更新の履歴を記録した、ファイル。
ウォームスタート|障害後に、ログを使って、直前の状態から、再開する方法。
コールドスタート|障害後に、バックアップなどからデータを戻し、最初からやり直す方法。
インデックス数|1つの表に、作成した、索引の数。
ユニークインデックス|重複した値を、許さない索引。
クラスタ化インデックス|データの物理的な並びを、索引の順にそろえる索引。
B-treeインデックス|B木の構造を使った、範囲検索にも強い、一般的な索引。
ビットマップインデックス|値ごとに、ビットの列を持つ、値の種類が少ない列に向く索引。
ハッシュインデックス|ハッシュ関数を使った、一致検索に強い索引。
カバリングインデックス|検索に必要な、列をすべて含む、表を見に行かなくて済む索引。
転置インデックス|単語から、その単語を含む文書を引く、全文検索用の索引。
参照権限|表などのデータを、読み取る権限。
挿入権限|表に、行を追加する権限。
削除権限|表から、行を削除する権限。
データマート|データウェアハウスから、特定の目的用に、切り出した小規模なデータベース。
OLTP|受注や振込など、日々の取引を、リアルタイムに処理する方式。
ETL|データを、抽出・変換したうえで、データウェアハウスへ、書き出す処理。
ELT|データを、先に取り込んでから、変換する処理。
データクレンジング|データの、誤りや重複などを、取り除いて、品質を高める作業。
文書管理システム|文書を、電子的に保管・検索・管理するシステム。
営業支援システム|営業活動の、情報を管理して、営業を支援するシステム。
透過性|利用者が、データの、置き場所などを意識せず、使えること。
コミットメント制御|トランザクションの、確定を、制御すること。
レプリケーション|データベースの複製を作り、別の場所に、同じ内容を保つこと。
IRDS|データの、定義などを、管理するための、標準的な仕組み。
分散ファイルシステム|複数のコンピュータに、ファイルを、分散して保存し、1つのように扱う仕組み。
構造化データ|表のように、決まった形式で、整理されたデータ。
半構造化データ|完全には、決まった形式ではないが、タグなどで構造を持つデータ。|XML、JSON。
非構造化データ|決まった形式を持たない、データ。|文章、画像、音声。
ストリーミングデータ|絶え間なく、継続して発生し続ける、データ。
データレイク|構造化・非構造化を問わず、大量のデータを、そのままの形で蓄積する、保管場所。
