ウォーターフォールモデル|要件定義から保守まで、工程を、順番に進める、開発モデル。前の工程には戻らない。
ステージング環境|本番環境と、ほぼ同じ構成で作る、最終確認用の環境。
資源管理|開発に使う、資源を管理すること。
更新履歴管理|変更の、履歴を、記録し管理すること。
アクセス権管理|開発資産に対する、アクセス権限を、管理すること。
検索|必要な資産や情報を、探し出すこと。
不正コピー|ソフトウェアなどを、許可なく複製すること。
棚卸|保有するソフトウェアなどの、数や状態を、実際に確認すること。
ソフトウェア構成管理|ソフトウェアの、構成要素と、変更の履歴を、管理すること。
SLCP|ソフトウェアの、ライフサイクルの、全体にわたる、作業のまとまり。
構成管理計画|構成管理を、どのように行うかを、定めた計画。
SBOM|ソフトウェアに、含まれる部品を、一覧にした、ソフトウェア部品表。
正確性|情報が、間違いなく正確であること。
保管期間|資料などを、保管しておく期間。
業務監査|業務が、適切に行われているかを、点検・評価する監査。
情報セキュリティ監査|情報セキュリティの、管理状況を、点検・評価する監査。
会計監査|会社の、財務諸表が、適正かどうかを、確認する監査。
法定監査|法律で、実施が義務づけられている、監査。
任意監査|法律の義務ではなく、自主的に、実施する監査。
システム監査人の権限と責任|システム監査人が、持つ権限と、果たすべき責任。
監査人の倫理|監査人が、守るべき、倫理。
誠実性|偽りなく、誠実に、業務を行うこと。
専門的能力の保持と向上|監査人が、専門的な能力を、維持し、高め続けること。
正当な注意と秘密の保持|注意を払って業務を行い、知り得た秘密を、守ること。
システム監査に対するニーズの把握と品質の確保|監査に、求められることを把握し、監査の品質を保つこと。
監査の独立性と客観性の保持|監査を、公正な立場から、事実に基づいて行うこと。
システム監査上の判断尺度|監査で、良否を判断するときの、基準。
情報システムの利活用に係る検証・評価|情報システムが、適切に利活用されているかを、検証・評価すること。
リスクアプローチ|リスクの大きさに、応じて、監査の重点を決める考え方。
監査証拠の入手と評価|監査の根拠となる、証拠を集め、その適切さを評価すること。
監査調書の作成と保管|監査の作業内容と、結果を記録して、保管すること。
監査の結論の形成|集めた証拠から、監査の結論を、まとめること。
監査報告書の作成と報告|監査の結果を、報告書にまとめて、報告すること。
改善提案のフォローアップ|提案した改善策が、実施されたかを、確認すること。
コントロール|リスクを、管理するための、統制の仕組み。
内部監査規程|内部監査を行う際の、ルールを、定めた規程。
システム監査委託契約書|システム監査を、外部に、委託するときの、契約書。
システム監査計画|システム監査の、目的、範囲、日程などを、定めた計画。
監査手続の適用|計画した、監査の手順を、実際に実施すること。
代表的なシステム監査技法|チェックリスト法やインタビュー法など、監査で使われる代表的な技法。
システム監査報告書|システム監査の、結果と、結論を、まとめた報告書。
指摘事項|監査で、見つかった、問題点。
保証を目的としたシステム監査|システムが、適切であることを、保証するための監査。
助言を目的としたシステム監査|システムの、改善に向けた、助言を行うための監査。
改善提案|問題点を、解決するための、提案。
改善計画|改善提案を受けて、被監査部門が、作成する改善の計画。
フォローアップ報告書|改善の状況を、確認した結果を、まとめた報告書。
情報セキュリティ監査基準|情報セキュリティ監査を、行う際の、判断の基準。
情報セキュリティ管理基準|組織が、情報セキュリティ管理を、行う際の、基準。
クラウド情報セキュリティ管理基準|クラウドサービスの、情報セキュリティ管理の、基準。
JIS Q 15001|個人情報を、保護するための、マネジメントシステムの要求事項を、定めたJIS規格。
プライバシーマーク制度|個人情報を、適切に取り扱っている事業者を、認定する制度。
JIS Q 19011|マネジメントシステムの、監査の指針を定めた、JIS規格。
著作権法|著作物を、創作した人の、権利を保護する法律。
内部統制の限界|内部統制には、担当者の共謀や、判断の誤りなどによる、限界があること。
内部統制報告制度|上場企業に、財務報告に関する、内部統制の評価と、報告を求める制度。
ITへの対応|内部統制を、有効に機能させるための、IT環境への対応。
ITが内部統制に果たす役割|ITを、活用することで、内部統制の、実施や記録を効率化する役割。
業務プロセスの明確化|業務の、流れを、はっきりさせること。
実施ルールの設定|業務を、行うときの、ルールを定めること。
チェック体制の確立|業務が、正しく行われているかを、確認する体制を作ること。
COSOフレームワーク|内部統制の、構成要素を、整理した、国際的な枠組み。
JIS Q 38500|ITガバナンスに、関する、原則を定めた、JIS規格。
CISO|組織の、情報セキュリティを、統括する、最高情報セキュリティ責任者。
会社法|株式会社などの、設立や、運営について、定めた法律。
金融商品取引法|株式などの、金融商品の、取引の公正を、図るための法律。
CSA|部門などが、自ら、統制の状況を、点検・評価する、手法。
