企業の社会的責任|企業が、利益の追求だけでなく、社会に対して負う責任。CSRともいう。
AI言語モデルのスケーリング則|AIの言語モデルの、規模を大きくするほど、性能が、規則的に向上するという法則。
第4次産業革命|IoTやAIなどによる、産業や社会の、大きな変革。
Society5.0|サイバー空間と、現実空間を高度に融合させた、人間中心の社会。
超スマート社会|必要なものやサービスを、必要な人に、必要なときに、提供できる社会。
データ駆動型社会|データの、活用によって、価値を生み出す社会。
デジタルトランスフォーメーション|デジタル技術によって、ビジネスや社会を、変革すること。DXともいう。
コーポレートトランスフォーメーション|企業が、組織や事業のあり方を、根本から変革すること。CX。
グリーントランスフォーメーション|脱炭素の実現に向けて、産業や社会を、変革すること。GX。
GXリーグ基本構想|脱炭素社会への、変革に取り組む、企業などが、協働する場に関する構想。
カーボンニュートラル|温室効果ガスの、排出量と吸収量を、差し引きして、実質ゼロにすること。
カーボントレーシング|製品などの、温室効果ガスの排出量を、供給網全体で、追跡する取組み。
国家戦略特別区域法|規制を緩和し、新しい取組みを、特定の区域で、先行して行えるようにする法律。
スーパーシティ構想|AIやデータ連携で、暮らし全般を、先端的に変える、都市の構想。
シンプレックス法|線形計画法の、最適解を求めるための、代表的な計算方法。
配分問題|限られた資源を、複数の用途に、最も効果的に割り当てる問題。
輸送問題|複数の供給地から、複数の需要地へ、費用が最小になるよう、輸送する問題。
安全在庫|需要の変動などに備えて、余分に持っておく在庫。
EOQ|発注費用と、在庫の保管費用の、合計が、最小になる発注量。経済的発注量。
発注点|在庫が、この量になったら、発注する、基準の量。
日程計画|作業の、開始と終了の、日程を決めること。
ゼロ和2人ゲーム|一方の利益が、他方の損失になる、2人の勝負の、ゲーム。
マクシミン原理|最悪の場合の利益が、最も大きくなる選択肢を選ぶ、判断の基準。
作業時間分析法|作業に、かかる時間を測定・分析して、改善する手法。
PTS法|作業を、基本動作に分解して、あらかじめ定めた時間値で、作業時間を求める方法。
ワークサンプリング法|ランダムな時点で、作業を観察し、作業の割合を、統計的に求める方法。
サーブリック|作業を、基本的な動作に分けて、分析するための、記号。
作業分析|作業の内容を、調べて、改善点を見つける手法。
稼働分析|機械や、人が稼働している、時間の割合を、分析すること。
OC曲線|抜取検査で、ロットの不良率と、合格する確率の、関係を表した曲線。
不良率|製品の、うち不良品の割合。
故障率曲線|時間の経過に伴う、故障率の変化を表した曲線。バスタブ曲線。
品質機能展開|顧客の要望を、製品の品質に、変換して、設計に反映させる手法。QFD。
不良率推定|検査の結果から、全体の、不良率を、推定すること。
時系列分析|時間の経過に伴う、データの変化を分析すること。
層別管理|データを、性質ごとに、グループ分けして、管理・分析すること。
親和図法|多くの意見や情報を、似たもの同士でまとめ、整理する手法。
連関図法|原因と結果の、複雑な関係を、矢印でつないで、整理する手法。
系統図法|目的を達成するための手段を、木の形に、展開して整理する手法。
マトリックス図法|2つの要素を、行と列に並べて、その関係を、整理する手法。
マトリックスデータ解析法|多くの項目のデータを、整理して、傾向を見つける手法。
PDPC|計画の進行中に、起こりうる問題を予測して、対応策を考えておく手法。
アローダイアグラム法|作業の順序関係を、矢印で表して、最適な日程を計画する手法。
最小二乗法|データに最も当てはまる、直線や曲線を求めるため、誤差の二乗の合計を最小にする方法。
相関係数|2つの量の、関係の強さを、−1〜1の数値で表したもの。
移動平均法|一定期間の平均を、順にずらしながら求めて、変動をならす手法。
パレート分析|要因を、影響の大きい順に並べて、重要な要因を特定する手法。
フォーカスグループ|少人数の集団に、意見を自由に話し合ってもらい、ニーズなどを探る調査方法。
ブレーンストーミング|批判せずに、自由に、アイデアを出し合う会議の手法。
ブレーンライティング|アイデアを、紙に書いて回し、他の人の案を、発展させていく手法。
レーダーチャート|複数の項目の値を、放射状の軸に取って、多角形で表したグラフ。
クラスタ分析法|データを、似たもの同士の、グループに分ける分析手法。
デルファイ法|専門家に、繰り返しアンケートを行い、意見を集約して、将来を予測する手法。
モンテカルロ法|乱数を使った、試行を、繰り返して、近似の解を求める手法。
決定木|条件による、分岐を、木の形で表し、判断や分類を行う手法。
モデル化|現実の物事を、単純化して、扱いやすい形で、表すこと。
調査データ|アンケートなどの、調査で集めた、データ。
実験データ|実験を行って、得られたデータ。
人の行動ログデータ|人の行動を、記録した、データ。
機械の稼働ログデータ|機械の、稼働状況を、記録したデータ。
ソーシャルメディアデータ|SNSなどに、投稿された、データ。
GISデータ|地図上の位置情報を、含む、データ。
量的データ|数値で表される、データ。
質的データ|数値では表せない、分類や、性質を表すデータ。
1次データ|自分で、調査・収集した、データ。
2次データ|他の人が、収集した、既存のデータ。
時系列データ|時間の順に、並んだデータ。
クロスセクションデータ|ある時点での、複数の対象の、データ。
Webクローリング|プログラムが、Webサイトを、巡回して、情報を収集すること。
スクレイピング|Webページから、必要な情報を、自動的に抽出すること。
データのサイロ化|データが、部門ごとに、分断され、共有・活用できない状態。
データ結合|複数の、データを、共通の項目でつなげて、1つにまとめること。
名寄せ|同一の人や物を、表す、複数のデータを、1つにまとめること。
外れ値・異常値・欠損値の処理|他と大きく離れた値や、抜けている値を、適切に、扱うこと。
アノテーション|データに、意味や、正解などの、情報を付けること。
季節調整|データから、季節による、変動の影響を取り除くこと。
移動平均|一定期間の平均を、順にずらしながら求めたもの。
周期性|一定の間隔で、同じ変動が、繰り返される性質。
アソシエーション分析|商品の、同時購入など、データの間にある、関連性を見つける分析手法。
オープンデータ|誰でも、自由に、利用できる形で、公開されたデータ。
パーソナルデータ|個人に関する、データ。
データサイエンスのサイクル|課題の設定から、データの収集・分析・活用までを、繰り返す流れ。
シミュレーション|現実の現象を、模擬的に、再現して、結果を予測すること。
シミュレーションのデータ同化|観測データを、シミュレーションに取り込み、予測の精度を高める手法。
パターン発見|データの中から、規則性を、見つけ出すこと。
最適化|条件のもとで、最も良い結果になるよう、解を求めること。
データサイエンティスト|データを、分析して、価値ある知見を、引き出す専門家。
母集団|調査の、対象となる、全体の集まり。
国勢調査|国内の、人口や、世帯の実態を調べる、全数調査。
アンケート調査|質問票によって、多くの人の意見や、事実を集める調査。
全数調査|対象となる、すべてを調べる調査。
単純無作為抽出|母集団から、偶然に基づいて、無作為に選ぶ方法。
層別抽出|母集団を、性質ごとの層に分け、各層から、抽出する方法。
多段抽出|段階的に、グループを選び、その中から、抽出する方法。
精度と偏り|調査の結果の、ばらつきの小ささと、真の値からのずれ。
選択バイアス|調査対象の選び方が、偏っているために生じる、偏り。
情報バイアス|情報の収集や、測定の仕方が原因で生じる、偏り。
交絡バイアス|別の要因の影響で、本来の関係を、誤って解釈してしまう偏り。
ハロー効果|ある一つの、目立つ特徴に、引きずられて、全体を評価してしまう傾向。
バンドワゴン効果|多くの人が、選んでいるものが、さらに、選ばれやすくなる傾向。
正常性バイアス|異常な事態を、正常の範囲だと思い込んでしまう傾向。
確証バイアス|自分の考えを、支持する情報だけを、集めてしまう傾向。
棒グラフ|量の大きさを、棒の長さで表したグラフ。
折れ線グラフ|時間の経過に伴う変化を、線でつないで表したグラフ。
箱ひげ図|データの、分布を、最小値・四分位数・最大値などで、表した図。
ヒートマップ|値の大きさを、色の濃淡で表した図。
モザイク図|分割表のデータを、面積の大きさで表した図。
クロス集計表|2つ以上の項目を、組み合わせて、集計した表。
分割表|2つの項目の、組合せごとの、度数を表にしたもの。
相関係数行列|複数の項目の、相関係数を、行列の形にまとめた表。
散布図行列|複数の項目の、組合せごとの、散布図を、並べて表示したもの。
デンドログラム|クラスタ分析の結果を、樹形図の形で表した図。
複合グラフ|棒グラフと、折れ線グラフなど、複数の種類を、組み合わせたグラフ。
2軸グラフ|左右に、異なる目盛りの軸を持つ、グラフ。
ロジックツリー|課題を、論理的に、木の形に分解して、整理する手法。
コンセプトマップ|概念同士の関係を、線で結んで、表した図。
シェープファイル|地図の、形状や位置の情報を、格納する、GISのデータ形式。
共起キーワード|文章の中で、同時に、現れやすい、言葉。
機会損失|ある選択をしたために、他の選択で得られたはずの利益を、失うこと。
