配列|同じ型のデータを連続して並べ、番号(添字)で取り出せるようにしたデータ構造。|a[0]、a[1]、a[2]…のように番号で要素を指定する。
リスト|データを鎖のようにつなげて並べたデータ構造。各要素が次の要素の位置(ポインタ)を持つ。|途中への挿入・削除がポインタのつなぎ替えだけで済む。
スタック|最後に入れたデータを最初に取り出す(後入れ先出し、LIFO)データ構造。|積み重ねた皿は、最後に置いた皿から取る。
キュー|最初に入れたデータを最初に取り出す(先入れ先出し、FIFO)データ構造。|レジの行列は、先に並んだ人から順に会計する。
木構造|根(ルート)から枝分かれして葉へ向かう階層的なデータ構造。|フォルダの階層構造。
二分木|各節点の子が最大2つの木構造。|左の子と右の子がある。
二分探索木|左の子は親より小さく、右の子は親より大きくなるよう作った二分木。探索が速い。
市場調査|市場や顧客の動向を、調べること。
STP|市場を分け(セグメンテーション)、狙う市場を決め(ターゲティング)、自社の立場を決める(ポジショニング)手順。
4P|製品・価格・流通・販促の4つの視点から、マーケティングの施策を考える枠組み。
セグメンテーション|市場を、共通の性質を持つ顧客のグループに分けること。
ポジショニング|競合他社に対して、自社の商品の立場を明確にすること。
ロングテール|ニッチな商品でも、種類を多く取りそろえて、全体で大きな売上を得る考え方。
オムニチャネル|実店舗やネットなど、あらゆる販売の経路を連携させて顧客に対応する方法。
ABC分析|商品などを、重要度に応じてA・B・Cの3つに分けて管理する手法。
技術戦略|企業が、技術を経営にどう生かすかという方針。
MOT|技術を、経営に生かして、価値を生み出すための手法。技術経営ともいう。
イノベーション|新しい技術や考え方で、価値や仕組みを生み出すこと。
デザイン思考|利用者の視点に立ち、課題を見つけて、解決策を作り出す考え方。
ロードマップ|技術開発の将来の方向性と、時期を示した計画。
死の谷|研究開発から、事業化へ進む過程で、資金や人材が足りずに行き詰まる時期。
ダーウィンの海|事業化した製品が、市場の競争にさらされ、生き残るのが難しくなる時期。
オープンイノベーション|自社だけでなく、外部の知識や技術も取り入れて、新しい価値をつくる方法。
技術ポートフォリオ|自社の技術を、分類して、どこに投資するかを考える手法。
ビジネスインダストリ|業界ごとに特有の、ビジネスや情報システムの分野。
ITS|情報通信技術を使い、道路交通の安全や渋滞を改善する高度道路交通システム。
ETC|有料道路の料金を、無線通信で自動的に支払う仕組み。
GPS|人工衛星の電波を使って、現在の位置を特定するシステム。
POS|販売時に、売上データを商品ごとに記録するシステム。
RFID|電波で、タグの情報を非接触で読み書きする技術。
ICタグ|情報を記録して、電波で読み取りできる小さなタグ。
CAD|コンピュータを使って、設計・製図を行うシステム。
CAM|コンピュータを使って、製造機械を制御するシステム。
MRP|生産に必要な部品の量と時期を、計算して管理する手法。
JIT|必要なものを、必要なときに、必要な量だけ供給する生産方式。かんばん方式ともいう。
スマートグリッド|情報通信技術を使って、電力の需要と供給を最適に制御する送電網。
フィンテック|金融と情報技術を組み合わせた、新しいサービスの分野。
ATM|銀行などで、現金の預入れや引出しを機械で行う装置。
電子マネー|お金の価値を、電子的なデータで扱う支払いの手段。
IoT|さまざまなモノがインターネットにつながって、情報をやり取りする仕組み。
AI|人間の知的な活動を、コンピュータで実現する技術。
ロボティクス|ロボットの設計・制御などを扱う技術分野。
スマートファクトリー|IoTなどを使って、生産設備を連携させ、自動化・最適化した工場。
経営理念|企業が、活動を行ううえでの、基本的な考え方や価値観。
株式会社|株式を発行して資金を集め、株主が出資者となる会社。
株主総会|株式会社の、最高の意思決定機関。
取締役会|会社の業務の執行を、決定・監督する機関。
CEO|企業の、最高経営責任者。
CIO|企業の、情報化を統括する最高情報責任者。
CTO|企業の、技術面を統括する最高技術責任者。
CFO|企業の、財務面を統括する最高財務責任者。
CSO|企業の、最高戦略責任者、または最高セキュリティ責任者。
PDCAサイクル|計画・実行・評価・改善を繰り返し、業務を継続的に改善する手法。
OJT|実際の仕事を通じて、上司や先輩が部下や後輩に指導する教育方法。
コンプライアンス|法令や社会規範を、守って事業活動を行うこと。
組織形態|機能別組織や事業部制組織など、企業の組織の作り方。
事業部制組織|製品や地域ごとに、独立した事業部を設ける組織形態。
マトリックス組織|機能別と、プロジェクト別など2つの軸を組み合わせた組織形態。
財務諸表|企業の、財務状況や経営成績を示す書類の総称。
貸借対照表|一定時点の、資産・負債・純資産を表した財務諸表。バランスシートともいう。
損益計算書|一定期間の、収益と費用、利益を表した財務諸表。PLともいう。
キャッシュフロー計算書|一定期間の、現金の流れを表した財務諸表。
資産|企業が持つ、価値のある財産。
負債|将来、返済などしなければならない債務。
純資産|資産から、負債を引いた残り。
売上総利益|売上高から、売上原価を引いた利益。粗利ともいう。
営業利益|売上総利益から、販売費や一般管理費を引いた、本業による利益。
経常利益|営業利益に、本業以外の収益や費用を加えた利益。
固定費|売上高や生産量に関係なく、一定額かかる費用。|家賃、正社員の給与。
変動費|売上高や生産量に比例して、増減する費用。|材料費。
損益分岐点|売上高と、総費用が等しくなって、利益がちょうどゼロになる点。|固定費÷(1−変動費率)で求める。
減価償却|固定資産の購入費用を、使用する年数にわたって、費用として配分すること。
定額法|毎年、同じ金額を減価償却する方法。
流動比率|短期的な支払い能力を示す指標。流動資産を流動負債で割った値。
自己資本比率|総資産のうち、返済不要の自己資本が占める割合。
ROE|自己資本に対して、どれだけ利益を上げたかを表す指標。
在庫回転率|在庫が、一定期間に何回入れ替わったかを表す指標。
OR|数学的な手法で、経営上の問題を解決するための技法。オペレーションズリサーチともいう。
線形計画法|制約のもとで、利益を最大にするなど、最適な解を求める手法。
在庫管理|在庫を、適切な量に保つよう管理すること。
発注方式|在庫を補充するために、いつ・どれだけ発注するかを決める方法。
定量発注方式|在庫が一定量まで減ったら、決まった量を発注する方式。
定期発注方式|決まった間隔で、その時点の在庫に応じた量を発注する方式。
デシジョンツリー|決定に伴う複数の選択肢と、その結果を、木の形で表した図。
IE|作業の方法や、工程を分析して、生産性を高めるための技法。インダストリアルエンジニアリングともいう。
QC七つ道具|品質管理で使う、パレート図や特性要因図などの、7つの基本的な手法。
ゲーム理論|複数の主体が、互いの行動を予想しながら、意思決定する状況を分析する理論。
知的財産権|人の知的な創作活動によって生み出されたものを、保護するための権利。
著作権|文章、音楽、プログラムなどを作った人に、創作と同時に自動的に発生する権利。
特許権|新しい発明を、一定期間、独占して利用できる権利。
実用新案権|物品の形や構造に関する、小さな発明を保護する権利。
意匠権|物品の、デザイン(形や模様)を保護する権利。
商標権|商品やサービスの、名前やマークを保護する権利。
産業財産権|特許権・実用新案権・意匠権・商標権の総称。
営業秘密|企業が秘密として管理している、有用な技術や営業上の情報。
不正競争防止法|営業秘密の不正な取得など、不公正な競争を防ぐための法律。
職務著作|会社などの指示で、従業員が作った著作物の著作権が、会社に帰属する制度。
個人情報保護法|個人情報の適切な取扱いを定め、個人の権利を保護するための法律。
個人情報|生存する個人を、識別できる情報。|氏名、生年月日、顔写真。
要配慮個人情報|不当な差別につながるおそれのある、特に慎重な取扱いが必要な個人情報。
マイナンバー|国民1人ひとりに割り当てられる、12桁の番号。
不正アクセス禁止法|他人のIDやパスワードを使って、不正にアクセスすることを禁じる法律。
サイバーセキュリティ基本法|サイバーセキュリティに関する、国や事業者の責務を定めた法律。
電子署名法|電子署名を、手書きの署名や押印と同じ効力とする法律。
労働基準法|労働条件の最低基準を定めた法律。
労働者派遣法|派遣労働者の保護や、派遣事業の適正な運営を定めた法律。
製造物責任法|製造物の欠陥によって被害が生じたとき、製造者が賠償責任を負うことを定めた法律。PL法ともいう。
下請法|親事業者が、下請事業者に対して不当な扱いをすることを禁じる法律。
公益通報者保護法|組織の不正を通報した人が、不利益を受けないよう保護する法律。
標準化|製品やサービスの、仕様や手順を統一すること。
ISO|国際的な標準を定める組織、またその規格。
JIS|日本の産業製品に関する、国家規格。
IEEE|電気・電子分野の学会。LANの規格などを標準化している。
ISO 9000|品質マネジメントシステムに関する、国際規格。
ISO 14000|環境マネジメントシステムに関する、国際規格。
ISO/IEC 27001|情報セキュリティマネジメントシステムに関する、国際規格。
デファクトスタンダード|公的な機関が定めなくても、市場での競争を通じて、事実上の標準となったもの。
デジュールスタンダード|公的な標準化機関が、正式に定めた標準。
データベース|複数のデータを整理して蓄積し、必要なときに取り出しやすくしたもの。
DBMS|データベースを管理し、検索や更新などを行うソフトウェア。データベース管理システムともいう。
階層型データベース|データを、木構造(親と子の関係)で管理するデータベース。
ネットワーク型データベース|データ同士を、網の目のように複雑な関係で結ぶデータベース。
関係データベース|データを、表(テーブル)の形で管理するデータベース。RDBともいう。
NoSQL|表形式にこだわらず、大量のデータを高速に扱うことを重視したデータベースの総称。
テーブル|関係データベースで、データを行と列で並べた表。
レコード|テーブルの1行にあたる、データのまとまり。行ともいう。
フィールド|テーブルの1列にあたる、項目。列、属性ともいう。
スキーマ|データベースの構造(どんな項目があるか)を定義したもの。
データモデル|現実の物事を、データベースで扱える形に整理したもの。
E-R図|物(エンティティ)と、その関連(リレーションシップ)を図で表したもの。
エンティティ|データベースで管理する対象。|社員、商品、顧客。
リレーションシップ|エンティティ同士の関連。
主キー|テーブルの中で、1つのレコードを一意に決められる項目。重複も空(ヌル)も許されない。
外部キー|他のテーブルの主キーを参照する項目。テーブル同士をつなぐ。
候補キー|主キーになる資格のある項目(の組)。
複合キー|複数の項目を組み合わせて、1つのキーにしたもの。
NULL|値が入っていない、「不明」や「未設定」を表す特別な値。
正規化|データの重複や矛盾が起きないように、テーブルを分割して整理すること。
第1正規形|1つの欄に複数の値が入っている(繰返し項目)状態をなくした形。
第2正規形|主キーの一部だけで決まる項目を、別のテーブルへ分けた形。
第3正規形|主キー以外の項目で決まる項目を、別のテーブルへ分けた形。
参照制約|外部キーの値が、必ず参照先の主キーに存在するように守るルール。
インデックス|検索を速くするために、データの場所を記録した索引。
ビュー|1つ以上のテーブルから作る、見せ方だけを定義した仮想的な表。
SQL|関係データベースを操作するための言語。
SELECT|テーブルからデータを取り出す(検索する)SQL文。
INSERT|テーブルに、新しいレコードを追加するSQL文。
UPDATE|テーブルの、既存のレコードの値を変更するSQL文。
DELETE|テーブルから、レコードを削除するSQL文。
WHERE句|SELECTなどで、対象とするレコードの条件を指定する部分。
GROUP BY句|指定した項目の値ごとに、レコードをグループにまとめる部分。
ORDER BY句|結果を、指定した項目の順に並べ替える部分。
集合関数|合計や平均など、複数のレコードから1つの値を求める関数。|SUM、AVG、COUNT、MAX、MIN。
結合|複数のテーブルを、共通の項目でつなげて1つの表にする操作。
射影|テーブルから、必要な列だけを取り出す操作。
選択|テーブルから、条件に合う行だけを取り出す操作。
副問合せ|SQL文の中に、別のSELECT文を入れて使うこと。サブクエリともいう。
CREATE TABLE|新しいテーブルを作成するSQL文。
トランザクション|データベースに対する、ひとまとまりの処理の単位。|銀行振込は「引出し」と「預入れ」が1組。
コミット|トランザクションの処理を確定し、変更を反映させること。
ロールバック|トランザクションの処理を取り消して、開始前の状態に戻すこと。
ACID特性|トランザクションが備えるべき、原子性・一貫性・独立性・耐久性の性質。
原子性|トランザクションの処理が、すべて実行されるか、まったく実行されないかのどちらかであること。
一貫性|トランザクションの前後で、データの整合性が保たれること。
独立性|同時に実行しても、互いの処理が影響しないこと。
耐久性|コミットした結果が、障害が起きても失われないこと。
排他制御|同じデータを同時に更新しないよう、順番に処理させる制御。
共有ロック|他の処理が読むことは許すが、更新を許さないロック。
専有ロック|他の処理の読み書きを、すべて許さないロック。
デッドロック|お互いが相手のロックの解除を待ち続け、処理が進まなくなる状態。
ログファイル|データベースの更新履歴を記録したファイル。障害からの復旧に使う。
ロールフォワード|障害の後、バックアップにログを適用して、障害直前の状態まで復旧すること。
チェックポイント|メモリ上のデータをディスクへ書き出し、復旧の基準点を作る仕組み。
データウェアハウス|意思決定のために、各システムのデータを集めて時系列に整理した大規模なデータベース。
データマイニング|大量のデータから、有用な規則や傾向を見つけ出す技術。
ビッグデータ|従来の方法では扱いきれない、大量で多様なデータ。
テキストマイニング|文章のデータから、有用な情報を取り出す技術。
BI|企業のデータを分析して、経営の意思決定に役立てる手法。
論理回路|0と1の信号を使って、論理演算を行う電子回路。
ANDゲート|入力がすべて1のときだけ、1を出力する回路。論理積回路ともいう。
ORゲート|入力のどれかが1のとき、1を出力する回路。論理和回路ともいう。
NOTゲート|入力を反転させて出力する回路。
NANDゲート|ANDの結果を反転させて出力する回路。
NORゲート|ORの結果を反転させて出力する回路。
XORゲート|入力が異なるときだけ、1を出力する回路。排他的論理和回路ともいう。
半加算器|1ビット同士の足し算を行い、和と桁上がりを出力する回路。
全加算器|下の桁からの桁上がりも含めて、1ビット同士の足し算を行う回路。
フリップフロップ|1ビットの情報を記憶できる回路。
組合せ回路|出力が、現在の入力だけで決まる論理回路。
順序回路|出力が、現在の入力と過去の状態の両方で決まる論理回路。
組込みシステム|家電や自動車などの機器に組み込まれ、その機器を制御するコンピュータシステム。|炊飯器、エアコン、自動車のエンジン制御。
ファームウェア|機器に組み込まれた、基本的な制御を行うソフトウェア。
リアルタイムシステム|決められた時間内に、必ず処理を完了させなければならないシステム。
リアルタイムOS|時間制約を守れるように設計された、組込み機器向けのOS。
マイコン|1つのチップに、CPU・メモリ・入出力機能をまとめた小さなコンピュータ。
SoC|1つのチップの上に、システムに必要な機能をまとめて載せた集積回路。
FPGA|購入後に、利用者が回路の構成を書き換えられる集積回路。
ASIC|特定の用途のために設計・製造する集積回路。
ウォッチドッグタイマ|プログラムの暴走を検出するため、一定時間ごとにリセットの合図を確認するタイマ。
センサ|温度・光・圧力などの物理的な量を、電気信号に変換する装置。
アクチュエータ|電気信号を、モータなどの物理的な動きに変換する装置。
A/D変換|アナログ信号をデジタル信号に変換すること。
D/A変換|デジタル信号をアナログ信号に変換すること。
標本化|アナログ信号を、一定の間隔で取り出すこと。サンプリングともいう。
量子化|標本化で取り出した値を、整数などの段階的な値に丸めること。
符号化|量子化した値を、2進数のデータに変換すること。
IoT|さまざまな「モノ」がインターネットにつながり、情報をやり取りする仕組み。
液晶ディスプレイ|液晶に電圧をかけて光の通り方を制御し、映像を表示する装置。
有機ELディスプレイ|自ら発光する素子を使って、映像を表示する装置。
タッチパネル|画面に触れた位置を検出して、入力を行う装置。
解像度|画像の細かさを表す指標。ピクセル(画素)の数で表す。
dpi|1インチあたりの点(ドット)の数を表す、解像度の単位。
プリンタ|コンピュータのデータを、紙に印刷して出力する装置。
インクジェットプリンタ|細かいインクの粒を吹き付けて印刷するプリンタ。
レーザプリンタ|レーザ光とトナーを使って印刷するプリンタ。
プロッタ|ペンを動かして、図面などを描く装置。
OCR|紙に書かれた文字を読み取って、文字データに変換する技術。
バーコードリーダ|バーコードを光で読み取る装置。
QRコード|縦横に情報を持つ、2次元コード。バーコードより多くの情報を記録できる。
LAN|同じ建物や敷地内など、狭い範囲のネットワーク。
WAN|離れた場所のLAN同士を結ぶ、広い範囲のネットワーク。
バス型|1本の共通の通信線に、すべての機器をつなぐ接続形態。
スター型|中心の機器から、各機器へ放射状につなぐ接続形態。
リング型|機器を輪の形につなぐ接続形態。
メッシュ型|機器同士を網の目のようにつなぐ接続形態。
イーサネット|LANで最も広く使われている、有線の通信規格。
無線LAN|電波を使って、ケーブルなしで接続するLAN。Wi-Fiともいう。
VPN|インターネットなどの公衆網上に、暗号化などで専用線のような安全な通信路を作る技術。
リピータ|信号が弱くなるのを防ぐため、増幅して中継する装置。
ハブ|複数の機器をつなぐ、集線装置。
スイッチングハブ|宛先のMACアドレスを見て、必要なポートにだけデータを送るハブ。L2スイッチともいう。
ブリッジ|2つのLANをつなぐ装置。
ルータ|異なるネットワーク間で、IPアドレスをもとにデータの経路を決めて中継する装置。
L3スイッチ|ルータの機能を高速化した、IPアドレスを見て転送するスイッチ。
ゲートウェイ|プロトコルが異なるネットワーク同士を、変換してつなぐ装置。
アクセスポイント|無線LANの機器と、有線LANをつなぐ装置。
ファイアウォール|外部と内部のネットワークの間で、通信を制限して守る仕組み。
プロトコル|通信をするときの、約束事や手順。
OSI参照モデル|通信機能を、7つの階層に分けて整理したモデル。
物理層|OSI参照モデルの第1層。ケーブルや電気信号など、物理的な伝送を扱う。
データリンク層|OSI参照モデルの第2層。隣接する機器同士で、データを正しく届けることを扱う。
ネットワーク層|OSI参照モデルの第3層。宛先までの経路選択を扱う。
トランスポート層|OSI参照モデルの第4層。端末同士のデータ転送の信頼性を扱う。
セション層|OSI参照モデルの第5層。通信の開始から終了までの管理を扱う。
プレゼンテーション層|OSI参照モデルの第6層。データの表現形式の変換を扱う。
アプリケーション層|OSI参照モデルの第7層。アプリケーションのための通信サービスを扱う。
TCP/IP|インターネットで使われている、通信プロトコルの集まり。
TCP|通信の信頼性を確保する、コネクション型のトランスポート層のプロトコル。
UDP|信頼性は保証しないが、高速に送れる、コネクションレス型のプロトコル。
IP|宛先のIPアドレスへ、データを届けるためのプロトコル。
ARP|IPアドレスから、MACアドレスを調べるプロトコル。
ICMP|ネットワークの状態確認やエラー通知を行うプロトコル。|pingコマンドで使われる。
MACアドレス|ネットワーク機器に、あらかじめ割り当てられている固有の識別番号。
IPアドレス|ネットワーク上の機器を識別する番号。|192.168.1.10。
IPv4|32ビットのIPアドレスを使うバージョン。
IPv6|128ビットのIPアドレスを使うバージョン。アドレスの不足に対応している。
サブネットマスク|IPアドレスの、ネットワーク部とホスト部を区別するための数値。
プライベートIPアドレス|組織内のネットワークだけで使える、自由に割り当てられるIPアドレス。
グローバルIPアドレス|インターネット上で使える、世界で重複しないIPアドレス。
NAT|プライベートIPアドレスとグローバルIPアドレスを、相互に変換する技術。
DHCP|ネットワークに接続した機器に、IPアドレスなどを自動的に割り当てるプロトコル。
DNS|ドメイン名と、IPアドレスとを対応させる仕組み。|www.example.comをIPアドレスに変換する。
ポート番号|1台の機器の中で、どのアプリケーションと通信するかを指定する番号。
HTTP|Webサーバと、Webブラウザの間で、データをやり取りするためのプロトコル。
HTTPS|HTTPに、暗号化の仕組み(TLS)を加えた、安全なプロトコル。
URL|インターネット上の情報の場所を示す文字列。
FTP|ファイルを転送するためのプロトコル。
SMTP|電子メールを送信するときに使うプロトコル。
POP3|メールサーバから、自分のパソコンへメールを受信するときに使うプロトコル。
IMAP4|メールをサーバに置いたまま、閲覧・管理するためのプロトコル。
MIME|電子メールで、日本語や画像など、文字以外も送れるようにする規格。
Webサーバ|Webページのデータを、Webブラウザの要求に応じて送るサーバ。
プロキシサーバ|内部のパソコンに代わって、外部のWebサーバにアクセスする中継サーバ。
NTP|ネットワークを通じて、機器の時刻を合わせるプロトコル。
SSH|ネットワーク経由で、他のコンピュータを安全に遠隔操作するためのプロトコル。
bps|1秒間に送れるビット数を表す、通信速度の単位。
回線利用率|回線の伝送能力のうち、実際に使われている割合。
伝送時間|データを送り終えるまでにかかる時間。|データ量÷(回線速度×回線利用率)で求める。
帯域幅|通信回線で、一度に送れるデータの量の上限。
遅延|データを送信してから、受信されるまでの遅れ。
CPU|プログラムの命令を読み取って実行し、コンピュータ全体を制御する装置。中央処理装置ともいう。
制御装置|命令を解読して、各装置へ指示を出す装置。
演算装置|加減算や論理演算などを実際に行う装置。ALUともいう。
レジスタ|CPU内部にある、非常に高速で小容量の記憶場所。
プログラムカウンタ|次に実行する命令が入っている場所(アドレス)を記憶するレジスタ。
命令レジスタ|いま実行しようとしている命令を保持するレジスタ。
クロック周波数|CPUが動作するタイミングを決める信号の1秒あたりの回数。単位はHz。|3GHzなら1秒間に30億回のクロックがある。
マルチコア|1つのCPUの中に複数の処理装置(コア)を入れた構成。並列処理で速くなる。
GPU|画像処理など、大量の計算を並列で処理することが得意なプロセッサ。
MPU|マイクロプロセッサ。CPUの機能を1つのチップに集積したもの。
命令サイクル|命令を取り出し、解読し、実行するという一連の流れ。
パイプライン|命令の処理をいくつかの段階に分けて、少しずつずらしながら同時に進める方式。
CISC|命令の種類が多く、複雑な命令を持つCPUの設計方式。
RISC|命令を単純なものに絞り、高速に実行するCPUの設計方式。
CPI|1命令の実行にかかる平均クロック数。
MIPS|1秒間に実行できる命令数を100万単位で表した性能指標。
主記憶装置|CPUが直接読み書きする、プログラムやデータを一時的に置く装置。メインメモリともいう。
補助記憶装置|電源を切っても内容が消えない、大容量の記憶装置。|HDDやSSD。
RAM|読み書きができるが、電源を切ると内容が消えるメモリ。
DRAM|コンデンサに電気をためて記憶するRAM。定期的な再書込み(リフレッシュ)が必要で、主記憶に使われる。
SRAM|フリップフロップ回路で記憶するRAM。高速でリフレッシュ不要だが高価で、キャッシュに使われる。
ROM|基本的に読出し専用で、電源を切っても内容が消えないメモリ。
フラッシュメモリ|電気的に書換えができ、電源を切っても内容が残るメモリ。|USBメモリ、SSD。
キャッシュメモリ|CPUと主記憶の速度差を埋めるために置く、高速な小容量メモリ。
ヒット率|必要なデータがキャッシュメモリ内に見つかる割合。
