情報セキュリティポリシーに基づく情報の管理|組織が定めた方針に従って、情報を、適切に取り扱い、保護すること。
PGP|メールの、暗号化や、電子署名のための、ソフトウェア。
S/MIME|電子証明書を使って、メールを、暗号化・署名する規格。
OAuth|パスワードを渡さずに、他のサービスへの、アクセス権限を、与える認可の仕組み。
DNSSEC|DNSの、応答に、電子署名を付けて、偽の情報を検出する仕組み。
EAP|無線LANなどで使う、認証の枠組み。
EAP-TLS|クライアント証明書とサーバ証明書で、相互に認証する、EAPの方式。
PEAP|サーバ証明書で、通信路を保護して、パスワードなどで認証する、EAPの方式。
RADIUS|ネットワークの、認証と利用の記録を集中管理する、プロトコル。
パケットフィルタリング|パケットの、IPアドレスや、ポート番号を見て、通過させるかを判断する方式。
MACアドレスフィルタリング|登録した機器の、MACアドレスだけに、接続を許可する方式。
認証サーバ|利用者などの、認証を行うサーバ。
NAPT|IPアドレスと、ポート番号を、変換する技術。
認証VLAN|認証の結果に応じて、接続するVLANを、切り替える仕組み。
ハニーポット|攻撃者を、おびき寄せて、攻撃の手口を、観察するための、おとりのシステム。
リバースプロキシ|外部からの、要求を、代理で受けて、内部のサーバへ中継する、サーバ。
データベース暗号化|データベース内の、データを、暗号化すること。
データベースアクセス制御|データベースへの、アクセスを、利用者ごとに制限すること。
データベースバックアップ|データベースの、コピーを、取ること。
ログの取得|システムの、動作の記録(ログ)を、収集すること。
Webシステムのセキュリティ対策|Webシステムに対する、攻撃を防ぐための、対策。
セキュアプログラミング|脆弱性を、作り込まないように、注意して、プログラムを書くこと。
脆弱性検査技術|システムに、脆弱性がないかを、調べる技術。
コンテナセキュリティ|コンテナ型の仮想化環境を、安全に運用するための対策。
ソルト|パスワードを、ハッシュ化するときに、加える、ランダムな文字列。
ペッパー|パスワードのハッシュ化に加える、システム全体で共通の、秘密の値。
ストレッチング|ハッシュ化を、何度も繰り返して、総当たり攻撃に、時間がかかるようにする手法。
バッファオーバーフロー対策|バッファオーバーフロー攻撃を、防ぐための、対策。
クロスサイトスクリプティング対策|クロスサイトスクリプティングを、防ぐための、対策。|入力値のエスケープ処理。
SQLインジェクション対策|SQLインジェクションを、防ぐための、対策。|プレースホルダの利用。
