@meta セキュリティ編|技術要素 > セキュリティ|基本情報技術者試験「技術要素」の中のセキュリティの用語集です。情報セキュリティの考え方、脅威、暗号、認証、対策まで含みます。
@group 情報セキュリティの基本|守るべきことに関する用語
フィッシング|本物そっくりの偽サイトに誘導し、IDやパスワードを盗み取る詐欺。
標的型攻撃|特定の組織を狙って、メールなどで巧妙に行う攻撃。
ソーシャルエンジニアリング|人の心理的な隙や行動のミスにつけこんで、情報を盗み出す手法。|電話で担当者を装ってパスワードを聞き出す。
SQLインジェクション|入力欄に不正なSQL文を入れ、データベースを不正に操作する攻撃。
クロスサイトスクリプティング|Webサイトの脆弱性を利用して、利用者のブラウザで不正なスクリプトを実行させる攻撃。XSSともいう。
クロスサイトリクエストフォージェリ|ログイン中の利用者に、意図しない操作をさせる攻撃。CSRFともいう。
バッファオーバフロー|メモリの領域に、想定を超えるデータを書き込み、不正な動作を引き起こす攻撃。
中間者攻撃|通信の間に割り込んで、内容を盗み見たり、改ざんしたりする攻撃。
ゼロデイ攻撃|脆弱性の修正プログラムが提供される前に、その脆弱性を狙う攻撃。
盗聴|通信の内容を、こっそり盗み見ること。
なりすまし|他人になりすまして、不正に行動すること。
改ざん|データの内容を、不正に書き換えること。
@group 暗号|情報を、第三者に読めなくする技術に関する用語
暗号化|データを、第三者に読めない形に変換すること。
復号|暗号化されたデータを、元のデータに戻すこと。
共通鍵暗号方式|暗号化と復号に、同じ鍵を使う暗号方式。処理が速い。|AES。
公開鍵暗号方式|暗号化と復号に、異なる鍵(公開鍵と秘密鍵)を使う暗号方式。|RSA。
公開鍵|誰にでも公開してよい鍵。
秘密鍵|本人だけが持ち、他人に知られないようにする鍵。
AES|現在、広く使われている共通鍵暗号方式。
RSA|素因数分解の難しさを利用した、公開鍵暗号方式。
ハイブリッド暗号|共通鍵暗号と公開鍵暗号を組み合わせて、両方の長所を生かす方式。
ハッシュ関数|データから、固定長の値(ハッシュ値)を計算する関数。元のデータには戻せない。
SSL/TLS|通信を暗号化して、盗聴や改ざんを防ぐプロトコル。
@group 認証|本人や内容が正しいことを確かめる技術に関する用語
認証|本人であることを、確認すること。
ディジタル署名|送信者が本人であることと、内容が改ざんされていないことを証明する技術。
ディジタル証明書|公開鍵の持ち主が確かであることを、認証局が証明する電子的な証明書。
認証局|ディジタル証明書を発行し、その正しさを保証する機関。CAともいう。
PKI|公開鍵暗号やディジタル証明書を使って、安全な通信や認証を実現する仕組み。
タイムスタンプ|ある時刻に、その電子データが存在したことを証明する技術。
多要素認証|知識・所持・生体など、異なる種類の情報を組み合わせて本人確認する方式。
生体認証|指紋や顔、虹彩など、身体の特徴を使って本人確認する方式。バイオメトリクス認証ともいう。
ワンタイムパスワード|1回限りしか使えない、使い捨てのパスワード。
シングルサインオン|1度の認証で、複数のシステムを利用できるようにする仕組み。
CAPTCHA|人間にしか解けない問題を出して、プログラムによる不正な操作を防ぐ技術。
@group セキュリティ対策|情報を守るための対策に関する用語
ファイアウォール|外部との通信を、ルールに基づいて制限し、内部を守る仕組み。
WAF|Webアプリケーションへの攻撃を、検知して防ぐファイアウォール。
IDS|ネットワークやサーバへの不正な侵入を、検知して通知する仕組み。
IPS|不正な侵入を検知するだけでなく、自動的に防御する仕組み。
DMZ|外部に公開するサーバを置く、外部と内部の中間にあたる領域。非武装地帯ともいう。
ウイルス対策ソフト|ウイルスなどのマルウェアを、検出・駆除するソフトウェア。
パターンマッチング法|既知のマルウェアの特徴(パターン)と、照合して検出する方法。
セキュリティパッチ|ソフトウェアの、脆弱性を修正するための更新プログラム。
アクセス制御|利用者ごとに、システムや情報を利用できる権限を制限すること。
最小権限の原則|利用者に、業務に必要な最低限の権限だけを与えるという考え方。
ログ管理|システムの操作の記録(ログ)を保管し、不正の検知や調査に使うこと。
SOC|セキュリティの監視や、インシデントの分析・対応を専門に行う組織。
CSIRT|セキュリティ事故(インシデント)が起きたときに対応する、組織内のチーム。
ペネトレーションテスト|実際に攻撃を試みて、システムの脆弱性を調べるテスト。
脆弱性診断|システムに、脆弱性がないかを調べること。
情報セキュリティ教育|従業員に、セキュリティの知識と意識を身につけさせるための教育。
